,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,0,-,2,0,0,0,5,caught,2,v Pakistan,Gujranwala,18-Dec-89
2,0,2,2,0,0,0,5,caught,2,v New Zealand,Dunedin,1-Mar-90
3,36,51,39,5,0,92.3,6,caught,1,v New Zealand,Wellington,6-Mar-90
4,19,38,35,1,1,54.28,4,bowled,2,v England,Leeds,18-Jul-90
5,31,31,26,3,0,119.23,6,bowled,2,v England,Nottingham,20-Jul-90
6,36,-,22,3,2,163.63,5,bowled,1,v Sri Lanka,Nagpur,1-Dec-90
7,53,-,41,7,1,129.26,5,bowled,2,v Sri Lanka,Pune,5-Dec-90
8,30,-,29,1,2,103.44,5,caught,1,v Sri Lanka,Margao,8-Dec-90
9,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Chandigarh,25-Dec-90
10,4,-,11,0,0,36.36,5,lbw,2,v Sri Lanka,Cuttack,28-Dec-90
11,53,-,70,2,0,75.71,4,lbw,2,v Sri Lanka,Kolkata,4-Jan-91
12,62,-,73,8,1,84.93,4,caught,2,v South Africa,Kolkata,10-Nov-91
13,4,-,8,0,0,50,4,caught,1,v South Africa,Gwalior,12-Nov-91
14,1,-,3,0,0,33.33,4,caught,1,v South Africa,New Delhi,14-Nov-91
15,36,79,65,3,0,55.38,4,caught,1,v Australia,Perth,8-Dec-91
16,57,111,107,3,0,53.27,4,caught,1,v Australia,Hobart,10-Dec-91
17,21,38,35,3,0,60,4,caught,1,v Australia,Adelaide,15-Dec-91
18,31,64,44,1,0,70.45,5,run out,1,v Australia,Sydney,14-Jan-92
19,4,12,10,0,0,40,4,caught,2,v Australia,Melbourne,18-Jan-92
20,69,116,100,3,0,69,4,caught,2,v Australia,Sydney,20-Jan-92
21,11,19,19,1,0,57.89,4,caught,2,v Australia,Brisbane,1-Mar-92
22,84,122,107,6,0,78.5,4,caught,1,v New Zealand,Dunedin,12-Mar-92
23,39,92,56,7,0,69.64,4,caught,1,v Zimbabwe,Harare,25-Oct-92
24,15,-,27,1,0,55.55,4,bowled,1,v South Africa,Cape Town,7-Dec-92
25,10,-,36,0,0,27.77,4,caught,1,v South Africa,Port Elizabeth,9-Dec-92
26,22,-,24,2,0,91.66,5,caught,2,v South Africa,Centurion,11-Dec-92
27,21,-,44,1,0,47.72,5,caught,1,v South Africa,Johannesburg,13-Dec-92
28,32,-,52,1,0,61.53,5,bowled,1,v South Africa,Bloemfontein,15-Dec-92
29,23,-,39,0,0,58.97,5,caught,2,v South Africa,Durban,17-Dec-92
30,21,-,38,3,0,55.26,3,caught,2,v South Africa,East London,19-Dec-92
31,82*,116,81,6,1,101.23,5,not out,1,v England,Jaipur,18-Jan-93
32,1,9,5,0,0,20,5,lbw,2,v England,Chandigarh,21-Jan-93
33,3,7,6,0,0,50,4,caught,2,v England,Bengaluru,26-Feb-93
34,24,42,32,1,0,75,4,bowled,1,v England,Jamshedpur,1-Mar-93
35,5,7,6,1,0,83.33,5,bowled,2,v England,Gwalior,4-Mar-93
36,34,42,30,2,1,113.33,5,caught,2,v England,Gwalior,5-Mar-93
37,3,16,9,0,0,33.33,5,caught,1,v Zimbabwe,Faridabad,19-Mar-93
38,8*,8,6,0,0,133.33,5,not out,2,v Zimbabwe,Guwahati,22-Mar-93
39,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Pune,25-Mar-93
40,21,-,39,1,0,53.84,5,caught,1,v Sri Lanka,Colombo (RPS),25-Jul-93
41,15,-,30,0,0,50,5,run out,2,v Sri Lanka,Colombo (RPS),12-Aug-93
42,25,-,39,1,0,64.1,5,caught,1,v Sri Lanka,Moratuwa,14-Aug-93
43,26*,-,30,4,0,86.66,5,not out,2,v Sri Lanka,Kanpur,7-Nov-93
44,2,-,8,0,0,25,5,lbw,2,v West Indies,Ahmedabad,16-Nov-93
45,3,-,25,0,0,12,4,caught,1,v South Africa,Mohali,22-Nov-93
46,15,-,31,3,0,48.38,5,caught,1,v South Africa,Kolkata,24-Nov-93
47,28*,-,43,2,0,65.11,5,not out,1,v West Indies,Kolkata,27-Nov-93
48,1,10,5,0,0,20,5,caught,1,v Sri Lanka,Rajkot,15-Feb-94
49,11*,25,18,0,0,61.11,5,not out,2,v Sri Lanka,Hyderabad (Deccan),18-Feb-94
50,52,83,63,3,0,82.53,5,run out,1,v Sri Lanka,Jalandhar,20-Feb-94
51,15,22,19,1,0,78.94,5,caught,2,v New Zealand,Napier,25-Mar-94
52,82,69,49,15,2,167.34,2,caught,2,v New Zealand,Auckland,27-Mar-94
53,63,91,75,9,0,84,2,lbw,1,v New Zealand,Wellington,30-Mar-94
54,40,34,26,8,0,153.84,2,bowled,1,v New Zealand,Christchurch,2-Apr-94
55,63,125,77,7,1,81.81,2,caught,1,v U.A.E.,Sharjah,13-Apr-94
56,6,13,5,0,0,120,2,caught,1,v Sri Lanka,Colombo (RPS),5-Sep-94
57,0,6,2,0,0,0,2,caught,2,v Sri Lanka,Colombo (SSC),17-Sep-94
58,0,3,4,0,0,0,2,caught,2,v West Indies,Faridabad,17-Oct-94
59,0,7,4,0,0,0,2,caught,2,v West Indies,Mumbai,20-Oct-94
60,8,28,24,0,0,33.33,3,caught,2,v West Indies,Chennai,23-Oct-94
61,115,184,136,9,3,84.55,2,run out,2,v New Zealand,Vadodara,28-Oct-94
62,34,53,47,7,0,72.34,2,bowled,2,v West Indies,Kanpur,30-Oct-94
63,62,80,54,13,0,114.81,2,bowled,1,v New Zealand,Delhi,3-Nov-94
64,66,101,68,8,0,97.05,2,caught,1,v West Indies,Kolkata,5-Nov-94
65,54,130,64,5,0,84.37,2,caught,1,v West Indies,Visakhapatnam,7-Nov-94
66,88,147,112,10,0,78.57,2,bowled,2,v West Indies,Cuttack,9-Nov-94
67,105,180,134,10,0,78.35,2,caught,1,v West Indies,Jaipur,11-Nov-94
68,13,30,15,3,0,86.66,2,caught,1,v New Zealand,Napier,16-Feb-95
69,30,30,20,5,0,150,2,caught,1,v New Zealand,Jamshedpur,15-Nov-95
70,39,79,51,4,0,76.47,2,caught,2,v New Zealand,Amritsar,18-Nov-95
71,7,27,11,1,0,63.63,2,caught,2,v New Zealand,Pune,24-Nov-95
72,65,96,59,9,1,110.16,2,run out,2,v New Zealand,Nagpur,26-Nov-95
73,1,14,4,0,0,25,2,bowled,2,v New Zealand,Mumbai (BS),29-Nov-95
74,127*,175,138,15,1,92.02,2,not out,2,v Kenya,Cuttack,18-Feb-96
75,70,137,91,8,0,76.92,2,run out,2,v West Indies,Gwalior,21-Feb-96
76,90,124,84,14,1,107.14,2,stumped,2,v Australia,Mumbai,27-Feb-96
77,137,198,137,8,5,100,2,run out,1,v Sri Lanka,Delhi,2-Mar-96
78,3,10,12,0,0,25,1,bowled,1,v Zimbabwe,Kanpur,6-Mar-96
79,31,103,59,3,0,52.54,2,bowled,1,v Pakistan,Bengaluru,9-Mar-96
80,65,96,88,9,0,73.86,1,stumped,2,v Sri Lanka,Kolkata,13-Mar-96
81,6,26,19,0,0,31.57,2,run out,1,v England,Leeds,25-May-96
82,1,18,11,0,0,9.09,2,caught,1,v England,Manchester,26-May-96
83,110,-,138,5,1,79.71,2,run out,1,v Sri Lanka,Colombo (RPS),28-Aug-96
84,11,20,8,2,0,137.5,2,caught,2,v South Africa,Hyderabad (Deccan),17-Oct-96
85,88,189,111,9,0,79.27,2,lbw,2,v Australia,Bengaluru,21-Oct-96
86,64,133,93,3,0,68.81,2,caught,2,v South Africa,Jaipur,23-Oct-96
87,28,55,38,5,0,73.68,1,lbw,1,v South Africa,Rajkot,29-Oct-96
88,62,-,60,8,0,103.33,1,caught,1,v Australia,Mohali,3-Nov-96
89,67,128,88,6,0,76.13,2,caught,1,v South Africa,Mumbai,6-Nov-96
90,114,157,126,14,0,90.47,1,stumped,1,v South Africa,Mumbai,14-Dec-96
91,0,12,4,0,0,0,2,bowled,2,v South Africa,Bloemfontein,23-Jan-97
92,1,14,14,0,0,7.14,4,bowled,1,v South Africa,Port Elizabeth,2-Feb-97
93,14,34,24,2,0,58.33,3,caught,1,v South Africa,East London,4-Feb-97
94,45,48,33,7,1,136.36,2,caught,2,v South Africa,Durban,13-Feb-97
95,13,18,15,0,1,86.66,2,caught,1,v Zimbabwe,Bulawayo,15-Feb-97
96,44,57,43,10,0,102.32,1,caught,1,v West Indies,Port of Spain,26-Apr-97
97,65*,111,70,7,0,92.85,1,not out,2,v West Indies,Port of Spain,27-Apr-97
98,9,22,15,1,0,60,1,bowled,2,v West Indies,Kingstown,30-Apr-97
99,1,17,11,0,0,9.09,1,caught,1,v West Indies,Bridgetown,3-May-97
100,117,188,137,13,2,85.4,2,bowled,2,v New Zealand,Bengaluru,14-May-97
101,2,19,4,0,0,50,2,caught,1,v Sri Lanka,Mumbai,17-May-97
102,4,10,7,1,0,57.14,1,caught,2,v Pakistan,Chennai,21-May-97
103,21,49,28,3,0,75,1,bowled,1,v Sri Lanka,Colombo (RPS),18-Jul-97
104,53,109,67,2,0,79.1,4,caught,1,v Sri Lanka,Colombo (RPS),26-Jul-97
105,27,55,28,3,0,96.42,1,caught,2,v Sri Lanka,Colombo (RPS),17-Aug-97
106,6,4,6,1,0,100,1,lbw,1,v Sri Lanka,Colombo (RPS),20-Aug-97
107,39,41,32,3,2,121.87,1,caught,2,v Sri Lanka,Colombo (SSC),24-Aug-97
108,2,17,11,0,0,18.18,1,bowled,1,v Pakistan,Hyderabad (Sind),28-Sep-97
109,21,24,18,2,1,116.66,1,caught,2,v Pakistan,Karachi,30-Sep-97
110,7,19,11,1,0,63.63,1,caught,1,v Pakistan,Lahore,2-Oct-97
111,82*,110,86,6,0,95.34,4,not out,2,v Sri Lanka,Guwahati,22-Dec-97
112,6,23,13,0,0,46.15,3,caught,1,v Sri Lanka,Margao,28-Dec-97
113,54,104,76,4,0,71.05,4,caught,2,v Bangladesh,Dhaka,10-Jan-98
114,8,21,11,1,0,72.72,2,caught,1,v Australia,Kochi,1-Apr-98
115,5,44,17,0,0,29.41,2,run out,1,v Zimbabwe,Vadodara,5-Apr-98
116,100,132,89,5,7,112.35,2,caught,2,v Australia,Kanpur,7-Apr-98
117,1,18,2,0,0,50,2,caught,1,v Zimbabwe,Cuttack,9-Apr-98
118,15,45,24,2,0,62.5,2,caught,1,v Australia,Delhi,14-Apr-98
119,33,48,29,6,0,113.79,2,caught,2,v Bangladesh,Mumbai,25-May-98
120,18,33,25,2,0,72,2,caught,2,v Kenya,Gwalior,28-May-98
121,100*,156,103,13,0,97.08,2,not out,2,v Kenya,Kolkata,31-May-98
122,65,79,50,9,0,130,2,caught,2,v Sri Lanka,Colombo (RPS),19-Jun-98
123,17,28,16,4,0,106.25,2,caught,2,v Sri Lanka,Colombo (SSC),1-Jul-98
124,128,182,131,8,2,97.7,2,stumped,1,v Sri Lanka,Colombo (RPS),7-Jul-98
125,127*,155,130,13,1,97.69,2,not out,2,v Zimbabwe,Bulawayo,26-Sep-98
126,29,33,21,4,1,138.09,1,caught,2,v Zimbabwe,Bulawayo,27-Sep-98
127,2,7,6,0,0,33.33,2,caught,2,v Zimbabwe,Harare,30-Sep-98
128,0,10,5,0,0,0,2,caught,1,v New Zealand,Taupo,9-Jan-99
129,23,37,19,4,0,121.05,2,caught,2,v New Zealand,Napier,12-Jan-99
130,5,27,12,1,0,41.66,1,lbw,2,v New Zealand,Auckland,16-Jan-99
131,22,49,40,2,0,55,4,caught,1,v England,Birmingham,29-May-99
132,37,105,58,1,0,63.79,2,run out,1,v Sri Lanka,Colombo (RPS),25-Aug-99
133,120,191,141,11,2,85.1,1,caught,1,v Sri Lanka,Colombo (SSC),29-Aug-99
134,32,61,31,2,1,103.22,2,caught,2,v New Zealand,Rajkot,5-Nov-99
135,186*,221,150,20,3,124,2,not out,1,v New Zealand,Hyderabad (Deccan),8-Nov-99
136,1,41,23,0,0,4.34,2,caught,1,v New Zealand,Gwalior,11-Nov-99
137,2,21,10,0,0,20,2,caught,2,v New Zealand,Guwahati,14-Nov-99
138,0,2,3,0,0,0,4,caught,2,v New Zealand,Delhi,17-Nov-99
139,12,25,11,2,0,109.09,4,run out,2,v Australia,Melbourne,12-Jan-00
140,1,13,11,0,0,9.09,2,caught,1,v Australia,Sydney,14-Jan-00
141,18,45,28,2,0,64.28,1,caught,2,v Australia,Adelaide,26-Jan-00
142,3,23,21,0,0,14.28,2,bowled,1,v Australia,Perth,30-Jan-00
143,26,66,25,4,0,104,2,caught,2,v South Africa,Kochi,9-Mar-00
144,21,39,31,3,0,67.74,2,caught,2,v South Africa,Jamshedpur,12-Mar-00
145,12,48,28,1,0,42.85,2,lbw,1,v South Africa,Faridabad,15-Mar-00
146,122,195,138,12,0,88.4,2,caught,2,v South Africa,Vadodara,17-Mar-00
147,93,119,89,7,4,104.49,2,caught,2,v South Africa,Nagpur,19-Mar-00
148,36,55,25,4,2,144,2,caught,2,v Bangladesh,Dhaka,30-May-00
149,25,55,35,4,0,71.42,2,lbw,2,v Kenya,Nairobi (Gym),3-Oct-00
150,44,90,49,7,0,89.79,2,caught,2,v Zimbabwe,Cuttack,2-Dec-00
151,8,27,20,0,0,40,1,caught,1,v Zimbabwe,Ahmedabad,5-Dec-00
152,146,200,153,15,2,95.42,2,caught,1,v Zimbabwe,Jodhpur,8-Dec-00
153,62,113,86,9,0,72.09,2,lbw,2,v Zimbabwe,Kanpur,11-Dec-00
154,27,38,38,5,0,71.05,2,bowled,1,v Zimbabwe,Rajkot,14-Dec-00
155,35,47,26,6,1,134.61,2,run out,1,v Australia,Bengaluru,25-Mar-01
156,32,35,29,6,1,110.34,2,caught,1,v Australia,Pune,28-Mar-01
157,139,197,125,19,0,111.2,2,caught,1,v Australia,Indore,31-Mar-01
158,62,68,38,11,0,163.15,2,caught,2,v Australia,Visakhapatnam,3-Apr-01
159,12,17,15,2,0,80,2,caught,1,v Australia,Margao,6-Apr-01
160,70*,129,70,13,0,100,2,not out,2,v Zimbabwe,Harare,24-Jun-01
161,9,42,27,0,0,33.33,2,caught,2,v Zimbabwe,Bulawayo,27-Jun-01
162,101,209,129,9,0,78.29,2,caught,1,v South Africa,Johannesburg,5-Oct-01
163,38,82,57,5,0,66.66,2,caught,1,v South Africa,Centurion,10-Oct-01
164,37,68,35,5,0,105.71,2,bowled,2,v South Africa,East London,19-Oct-01
165,17,49,42,3,0,40.47,2,bowled,1,v South Africa,Durban,26-Oct-01
166,36,71,43,6,0,83.72,2,bowled,1,v England,Kolkata,19-Jan-02
167,45,101,60,6,0,75,2,run out,2,v England,Cuttack,22-Jan-02
168,68,110,79,10,0,86.07,1,lbw,2,v England,Chennai,25-Jan-02
169,87*,120,67,13,1,129.85,1,not out,2,v England,Kanpur,28-Jan-02
170,18,20,16,3,0,112.5,2,caught,2,v England,Delhi,31-Jan-02
171,12,22,18,1,1,66.66,2,caught,2,v England,Mumbai,3-Feb-02
172,34*,64,45,2,0,75.55,4,not out,2,v West Indies,Bridgetown,29-May-02
173,65,110,70,3,1,92.85,4,bowled,1,v West Indies,Port of Spain,2-Jun-02
174,1,12,9,0,0,11.11,4,lbw,2,v England,Lord's,29-Jun-02
175,36,60,29,5,0,124.13,4,caught,2,v England,The Oval,9-Jul-02
176,14,31,19,1,0,73.68,4,bowled,2,v England,Lord's,13-Jul-02
177,0,9,10,0,0,0,4,lbw,2,v New Zealand,Wellington,8-Jan-03
178,1,21,13,0,0,7.69,4,caught,2,v New Zealand,Auckland,11-Jan-03
179,1,7,6,0,0,16.66,3,caught,1,v New Zealand,Hamilton,14-Jan-03
180,81,122,91,10,0,89.01,2,bowled,1,v Zimbabwe,Harare,19-Feb-03
181,100,158,119,9,1,84.03,2,caught,1,v Australia,Gwalior,26-Oct-03
182,68,113,76,10,0,89.47,2,bowled,2,v Australia,Mumbai,1-Nov-03
183,14,29,14,3,0,100,2,lbw,1,v New Zealand,Cuttack,6-Nov-03
184,89,133,91,12,1,97.8,2,bowled,2,v Australia,Bengaluru,12-Nov-03
185,102,124,91,12,1,112.08,2,caught,1,v New Zealand,Hyderabad (Deccan),15-Nov-03
186,45,104,66,5,0,68.18,1,bowled,2,v Australia,Kolkata,18-Nov-03
187,63,117,69,8,1,91.3,2,caught,2,v Australia,Melbourne,9-Jan-04
188,86,129,95,8,0,90.52,2,caught,1,v Australia,Brisbane,18-Jan-04
189,5,17,6,1,0,83.33,2,caught,1,v Australia,Perth,1-Feb-04
190,8,28,22,1,0,36.36,2,bowled,1,v Australia,Melbourne,6-Feb-04
191,27,38,40,4,0,67.5,2,caught,2,v Australia,Sydney,8-Feb-04
192,28,49,35,4,1,80,2,caught,1,v Pakistan,Karachi,13-Mar-04
193,141,173,135,17,1,104.44,2,caught,2,v Pakistan,Rawalpindi,16-Mar-04
194,0,7,5,0,0,0,2,caught,1,v Pakistan,Peshawar,19-Mar-04
195,7,22,13,1,0,53.84,2,caught,2,v Pakistan,Lahore,21-Mar-04
196,37,60,48,7,0,77.08,2,caught,1,v Pakistan,Lahore,24-Mar-04
197,11,17,13,2,0,84.61,1,caught,2,v Sri Lanka,Dambulla,18-Jul-04
198,18,30,21,3,0,85.71,1,lbw,1,v Sri Lanka,Colombo (RPS),27-Jul-04
199,74,170,100,7,1,74,2,bowled,2,v Sri Lanka,Colombo (RPS),1-Aug-04
200,16,30,17,2,0,94.11,2,run out,1,v Pakistan,Kolkata,13-Nov-04
201,19,46,32,3,0,59.37,2,caught,1,v Bangladesh,Chittagong,23-Dec-04
202,47,60,42,9,0,111.9,2,caught,1,v Bangladesh,Dhaka,27-Dec-04
203,4,8,4,1,0,100,2,caught,1,v Pakistan,Kochi,2-Apr-05
204,2,17,8,0,0,25,2,run out,1,v Pakistan,Visakhapatnam,5-Apr-05
205,6,15,11,1,0,54.54,2,caught,2,v Pakistan,Jamshedpur,9-Apr-05
206,123,192,130,12,2,94.61,2,bowled,1,v Pakistan,Ahmedabad,12-Apr-05
207,1,13,10,0,0,10,2,caught,1,v Pakistan,Kanpur,15-Apr-05
208,9,38,15,0,0,60,2,bowled,2,v Pakistan,Delhi,17-Apr-05
209,93,149,96,9,2,96.87,2,caught,1,v Sri Lanka,Nagpur,25-Oct-05
210,67*,87,69,11,0,97.1,2,not out,2,v Sri Lanka,Mohali,28-Oct-05
211,2,2,3,0,0,66.66,2,caught,2,v Sri Lanka,Jaipur,31-Oct-05
212,11,28,19,1,1,57.89,2,bowled,2,v Sri Lanka,Pune,3-Nov-05
213,19,46,30,3,0,63.33,2,caught,2,v Sri Lanka,Rajkot,9-Nov-05
214,39,76,48,8,0,81.25,2,caught,2,v Sri Lanka,Vadodara,12-Nov-05
215,2,20,9,0,0,22.22,2,caught,1,v South Africa,Hyderabad (Deccan),16-Nov-05
216,2,31,22,0,0,9.09,2,caught,2,v South Africa,Bengaluru,19-Nov-05
217,2,18,15,0,0,13.33,3,caught,1,v South Africa,Kolkata,25-Nov-05
218,30,77,44,5,0,68.18,2,caught,2,v South Africa,Mumbai,28-Nov-05
219,100,188,113,10,1,88.49,2,lbw,1,v Pakistan,Peshawar,6-Feb-06
220,42,71,43,8,0,97.67,2,caught,2,v Pakistan,Rawalpindi,11-Feb-06
221,95,157,104,16,1,91.34,2,caught,2,v Pakistan,Lahore,13-Feb-06
222,0,7,3,0,0,0,2,caught,2,v Pakistan,Multan,16-Feb-06
223,35,87,41,5,0,85.36,2,lbw,2,v England,Jaipur,15-Oct-06
224,29,81,45,4,0,64.44,2,bowled,1,v West Indies,Ahmedabad,26-Oct-06
225,10,46,26,2,0,38.46,2,caught,1,v Australia,Mohali,29-Oct-06
226,35,79,51,5,0,68.62,2,bowled,2,v South Africa,Durban,22-Nov-06
227,2,20,9,0,0,22.22,2,caught,2,v South Africa,Cape Town,26-Nov-06
228,1,4,3,0,0,33.33,3,caught,2,v South Africa,Port Elizabeth,29-Nov-06
229,55,134,97,8,0,56.7,2,caught,1,v South Africa,Centurion,3-Dec-06
230,31,54,38,3,0,81.57,3,lbw,1,v West Indies,Nagpur,21-Jan-07
231,0,6,6,0,0,0,4,caught,1,v West Indies,Cuttack,24-Jan-07
232,60,112,66,2,0,90.9,4,caught,1,v West Indies,Chennai,27-Jan-07
233,100*,110,76,10,1,131.57,4,not out,1,v West Indies,Vadodara,31-Jan-07
234,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Kolkata,8-Feb-07
235,54,94,61,9,0,88.52,4,stumped,2,v Sri Lanka,Rajkot,11-Feb-07
236,1,13,8,0,0,12.5,3,bowled,2,v Sri Lanka,Margao,14-Feb-07
237,4,4,3,1,0,133.33,2,bowled,2,v Ireland,Belfast,23-Jun-07
238,17,52,33,1,0,51.51,2,caught,2,v England,Southampton,21-Aug-07
239,99,158,112,15,1,88.39,2,caught,1,v England,Bristol,24-Aug-07
240,8,42,19,1,0,42.1,2,caught,2,v England,Birmingham,27-Aug-07
241,55,128,86,9,0,63.95,2,caught,1,v England,Manchester,30-Aug-07
242,71,87,59,13,0,120.33,2,caught,1,v England,Leeds,2-Sep-07
243,94,120,81,16,1,116.04,2,caught,2,v England,The Oval,5-Sep-07
244,30,80,46,4,0,65.21,2,caught,1,v England,Lord's,8-Sep-07
245,16,43,25,1,1,64,2,caught,2,v Australia,Kochi,2-Oct-07
246,43,119,71,6,0,60.56,2,bowled,2,v Australia,Hyderabad (Deccan),5-Oct-07
247,79,184,119,7,0,66.38,2,run out,1,v Australia,Chandigarh,8-Oct-07
248,47,128,73,9,0,64.38,2,caught,1,v Australia,Vadodara,11-Oct-07
249,72,105,72,9,1,100,2,stumped,2,v Australia,Nagpur,14-Oct-07
250,21,52,36,4,0,58.33,2,bowled,2,v Australia,Mumbai,17-Oct-07
251,4,14,7,1,0,57.14,2,lbw,2,v Pakistan,Guwahati,5-Nov-07
252,99,130,91,14,1,108.79,2,caught,1,v Pakistan,Mohali,8-Nov-07
253,29,54,27,5,0,107.4,2,caught,1,v Pakistan,Kanpur,11-Nov-07
254,97,149,102,16,0,95.09,2,bowled,2,v Pakistan,Gwalior,15-Nov-07
255,30,54,27,6,0,111.11,2,caught,2,v Pakistan,Jaipur,18-Nov-07
256,44,123,54,3,0,81.48,2,caught,2,v Australia,Melbourne,10-Feb-08
257,5,23,15,1,0,33.33,2,lbw,2,v Australia,Adelaide,17-Feb-08
258,2,3,3,0,0,66.66,2,lbw,2,v Australia,Sydney,24-Feb-08
259,117*,235,120,10,0,97.5,2,not out,2,v Australia,Sydney,2-Mar-08
260,91,176,121,7,0,75.2,2,caught,1,v Australia,Brisbane,4-Mar-08
261,11,40,21,2,0,52.38,2,bowled,1,v England,Bengaluru,23-Nov-08
262,50,99,57,6,0,87.71,2,bowled,2,v England,Cuttack,26-Nov-08
263,5,15,16,0,0,31.25,2,lbw,2,v Sri Lanka,Dambulla,28-Jan-09
264,6,11,9,0,0,66.66,2,lbw,1,v Sri Lanka,Colombo (RPS),31-Jan-09
265,7,9,12,0,1,58.33,2,lbw,1,v Sri Lanka,Colombo (RPS),3-Feb-09
266,20,43,23,2,0,86.95,2,caught,1,v New Zealand,Napier,3-Mar-09
267,163*,206,133,16,5,122.55,2,retired notout,1,v New Zealand,Christchurch,8-Mar-09
268,27,63,33,5,0,81.81,2,caught,2,v Sri Lanka,Colombo (RPS),12-Sep-09
269,138,214,133,10,1,103.75,2,lbw,1,v Sri Lanka,Colombo (RPS),14-Sep-09
270,14,40,29,2,0,48.27,2,caught,2,v Australia,Vadodara,25-Oct-09
271,4,14,8,1,0,50,2,caught,1,v Australia,Nagpur,28-Oct-09
272,32,63,47,2,0,68.08,2,run out,2,v Australia,Delhi,31-Oct-09
273,40,86,68,6,0,58.82,2,lbw,2,v Australia,Mohali,2-Nov-09
274,175,210,141,19,4,124.11,2,caught,2,v Australia,Hyderabad (Deccan),5-Nov-09
275,10,23,17,2,0,58.82,2,caught,1,v Australia,Guwahati,8-Nov-09
276,69,91,63,10,1,109.52,2,bowled,1,v Sri Lanka,Rajkot,15-Dec-09
277,43,76,52,4,0,82.69,2,stumped,1,v Sri Lanka,Nagpur,18-Dec-09
278,96*,187,104,13,0,92.3,2,not out,2,v Sri Lanka,Cuttack,21-Dec-09
279,8,-,8,2,0,100,2,caught,2,v Sri Lanka,Kolkata,24-Dec-09
280,4,-,5,1,0,80,2,run out,1,v South Africa,Jaipur,21-Feb-10
281,200*,226,147,25,3,136.05,2,not out,1,v South Africa,Gwalior,24-Feb-10
282,7,16,11,0,0,63.63,2,caught,2,v South Africa,Durban,12-Jan-11
283,24,78,44,2,0,54.54,2,bowled,1,v South Africa,Johannesburg,15-Jan-11
284,28,46,29,4,0,96.55,2,run out,1,v Bangladesh,Dhaka,19-Feb-11
285,38,91,56,4,0,67.85,2,lbw,2,v Ireland,Bengaluru,6-Mar-11
286,27,45,22,6,0,122.72,2,caught,2,v Netherlands,Delhi,9-Mar-11
287,111,184,101,8,3,109.9,2,caught,1,v South Africa,Nagpur,12-Mar-11
288,2,4,4,0,0,50,2,caught,1,v West Indies,Chennai,20-Mar-11
289,53,93,68,7,0,77.94,2,caught,2,v Australia,Ahmedabad,24-Mar-11
290,85,160,115,11,0,73.91,2,caught,1,v Pakistan,Mohali,30-Mar-11
291,18,21,14,2,0,128.57,2,caught,2,v Sri Lanka,Mumbai,2-Apr-11
292,2,9,6,0,0,33.33,2,caught,2,v Australia,Melbourne,5-Feb-12
293,3,21,12,0,0,25,2,caught,2,v Australia,Brisbane,19-Feb-12
294,14,34,15,2,0,93.33,2,run out,2,v Australia,Sydney,26-Feb-12
295,114,205,147,12,1,77.55,2,caught,1,v Bangladesh,Dhaka,16-Mar-12
