playerID,year,stint,tmID,W,L,SA,GA
aebisda01,2005,1,COL,2,1,10,2
aebisda01,2006,1,MTL,2,2,18,6
andercr01,2005,1,CHI,0,3,7,5
andercr01,2006,1,FLO,1,0,2,0
andercr01,2008,1,FLO,0,4,11,7
andercr01,2009,1,COL,7,4,51,16
andercr01,2010,1,COL,1,0,3,0
andercr01,2010,2,OTT,2,1,12,1
andercr01,2011,1,OTT,6,1,25,7
aubinje01,2005,1,TOR,0,2,5,2
aubinje01,2006,1,TOR,1,1,11,3
aubinje01,2007,1,LAK,1,1,4,2
auldal01,2005,1,VAN,4,3,22,7
auldal01,2006,1,FLO,0,3,8,6
auldal01,2007,2,BOS,2,3,15,5
auldal01,2008,1,OTT,2,4,25,9
auldal01,2009,1,DAL,2,2,15,2
auldal01,2010,1,MTL,0,1,4,1
auldal01,2011,1,OTT,0,1,4,3
bacasja01,2005,1,STL,1,0,4,1
bacasja01,2006,1,STL,1,1,6,2
bachmri01,2011,1,DAL,0,1,3,1
backsni01,2006,1,MIN,3,5,32,15
backsni01,2007,1,MIN,1,6,21,12
backsni01,2008,1,MIN,5,2,21,5
backsni01,2009,1,MIN,2,7,38,14
backsni01,2010,1,MIN,1,4,17,8
backsni01,2011,1,MIN,5,6,32,15
belfoed01,2005,1,TOR,2,4,14,6
belfoed01,2006,1,FLO,1,5,25,9
bernijo01,2009,1,LAK,1,0,6,0
bernijo01,2010,1,LAK,0,2,5,3
bernijo01,2011,1,LAK,0,1,2,2
bironma01,2005,1,BUF,2,3,12,5
bironma01,2006,2,PHI,0,1,3,2
bironma01,2007,1,PHI,2,6,20,13
bironma01,2008,1,PHI,2,3,17,5
bironma01,2009,1,NYI,2,1,8,3
bironma01,2010,1,NYR,2,0,7,2
bironma01,2011,1,NYR,0,2,7,3
bishobe01,2008,1,STL,0,1,4,2
bishobe01,2010,1,STL,1,0,4,2
bishobe01,2011,1,OTT,0,2,6,3
bobrose01,2010,1,PHI,1,4,17,9
bobrose01,2011,1,PHI,1,2,8,4
bouchbr01,2005,1,PHO,1,0,3,0
bouchbr01,2006,1,CHI,0,2,4,4
bouchbr01,2008,1,SJS,1,1,6,2
bouchbr01,2009,1,PHI,1,2,7,4
bouchbr01,2010,1,PHI,2,3,20,8
brodema01,2005,1,NJD,8,3,38,9
brodema01,2006,1,NJD,10,6,60,20
brodema01,2007,1,NJD,8,4,43,11
brodema01,2008,1,NJD,2,1,10,3
brodema01,2009,1,NJD,6,4,31,9
brodema01,2010,1,NJD,1,1,9,2
brodema01,2011,1,NJD,7,2,26,7
brustba01,2006,1,LAK,1,1,5,1
bryzgil01,2006,1,AND,0,4,13,6
bryzgil01,2007,1,AND,0,1,3,1
bryzgil01,2007,2,PHO,5,4,26,8
bryzgil01,2008,1,PHO,2,3,20,10
bryzgil01,2009,1,PHO,8,5,62,17
bryzgil01,2010,1,PHO,4,5,32,11
bryzgil01,2011,1,PHI,3,5,25,13
budajpe01,2005,1,COL,0,5,14,9
budajpe01,2006,1,COL,3,4,27,11
budajpe01,2007,1,COL,1,2,9,4
budajpe01,2008,1,COL,7,4,35,13
budajpe01,2009,1,COL,0,1,5,1
budajpe01,2010,1,COL,3,0,14,1
budajpe01,2011,1,MTL,0,4,15,7
burkese01,2005,1,TBL,2,3,11,5
burkese01,2006,1,LAK,2,2,22,11
caronse01,2005,1,PIT,0,3,10,6
cassifr01,2006,1,WAS,0,1,3,2
clemmsc01,2005,1,NJD,1,1,7,3
clemmsc01,2006,1,NJD,0,2,6,3
clemmsc01,2007,1,TOR,1,0,3,1
clemmsc01,2008,1,NJD,2,1,12,3
clemmsc01,2009,1,FLO,2,1,11,1
clemmsc01,2010,1,FLO,2,6,23,12
clemmsc01,2011,1,FLO,2,3,20,7
climima01,2008,1,DAL,1,0,3,2
cloutda01,2005,1,VAN,0,1,2,2
cloutda01,2007,1,LAK,1,0,4,1
conklty01,2005,1,EDM,0,1,2,2
conklty01,2006,1,CBS,1,1,5,2
conklty01,2007,1,PIT,2,3,15,7
conklty01,2008,1,DET,2,2,13,4
conklty01,2009,1,STL,2,2,10,5
conklty01,2010,1,STL,0,2,7,6
conklty01,2011,1,DET,1,0,3,0
crawfco01,2005,1,CHI,0,1,3,2
crawfco01,2010,1,CHI,4,3,19,3
crawfco01,2011,1,CHI,6,4,32,6
danisya01,2008,1,NYI,0,2,5,3
danisya01,2009,1,NJD,0,1,3,3
denisma01,2005,1,CBS,3,1,18,4
denisma01,2006,1,TBL,4,1,20,2
denisma01,2007,1,TBL,1,0,3,0
dipieri01,2005,1,NYI,8,3,41,12
dipieri01,2006,1,NYI,5,4,44,9
dipieri01,2007,1,NYI,3,2,21,6
dipieri01,2009,1,NYI,1,0,8,3
dipieri01,2010,1,NYI,2,1,9,3
dipieri01,2011,1,NYI,0,1,3,1
divisre01,2005,1,STL,0,1,3,2
drouije01,2008,1,EDM,1,0,3,0
drouije01,2009,1,EDM,4,3,37,11
dubiewa01,2005,1,NYI,1,0,3,0
dubiewa01,2006,1,NYI,2,0,6,1
dubiewa01,2007,1,NYI,2,1,13,4
dubiewa01,2009,1,MIN,1,0,2,0
dubnyde01,2009,1,EDM,2,1,11,3
dubnyde01,2010,1,EDM,0,6,19,10
dubnyde01,2011,1,EDM,5,2,27,7
dunhami01,2005,1,ATL,0,2,4,3
dunhami01,2006,1,NYI,1,1,8,3
elliobr01,2008,1,OTT,2,2,16,6
elliobr01,2009,1,OTT,2,4,21,7
elliobr01,2010,1,OTT,0,4,8,6
elliobr01,2010,2,COL,2,1,10,1
elliobr01,2011,1,STL,1,3,14,5
ellisda01,2007,1,NAS,2,1,9,4
ellisda01,2008,1,NAS,1,3,11,6
ellisda01,2009,1,NAS,2,1,10,2
ellisda01,2010,1,TBL,2,3,24,6
emeryra01,2005,1,OTT,0,2,5,2
emeryra01,2006,1,OTT,1,4,19,8
emeryra01,2007,1,OTT,1,3,15,7
emeryra01,2009,1,PHI,2,1,9,2
emeryra01,2011,1,CHI,1,3,13,5
enrotjh01,2010,1,BUF,3,0,19,5
enrotjh01,2011,1,BUF,2,3,22,8
ersbeer01,2007,1,LAK,1,1,10,2
ersbeer01,2008,1,LAK,1,4,20,8
ersbeer01,2009,1,LAK,1,2,16,7
eschero01,2005,1,PHI,1,2,8,4
eschero01,2006,1,PHI,0,1,2,2
fernama01,2005,1,MIN,4,2,19,4
fernama01,2006,1,MIN,7,1,32,9
fernama01,2007,1,BOS,1,0,3,0
fernama01,2008,1,BOS,0,2,9,4
fleurma01,2005,1,PIT,0,2,5,4
fleurma01,2006,1,PIT,9,5,39,9
fleurma01,2007,1,PIT,1,0,3,0
fleurma01,2008,1,PIT,3,4,22,6
fleurma01,2009,1,PIT,6,2,23,6
fleurma01,2010,1,PIT,8,2,38,6
fleurma01,2011,1,PIT,9,2,39,9
garnemi01,2005,1,ATL,0,2,8,4
garonma01,2005,1,LAK,4,1,16,3
garonma01,2006,1,LAK,1,3,18,7
garonma01,2007,1,EDM,10,0,32,2
garonma01,2008,1,EDM,1,0,3,1
garonma01,2009,1,CBS,2,3,18,8
garonma01,2010,1,CBS,1,3,12,4
garonma01,2011,1,TBL,1,1,6,1
gerbema01,2005,1,CAR,7,2,33,10
gerbema01,2006,1,OTT,1,2,10,3
gerbema01,2007,1,OTT,2,2,16,5
gerbema01,2010,1,EDM,1,0,4,1
gigueje01,2005,1,ANA,3,7,31,12
gigueje01,2006,1,AND,4,6,39,13
gigueje01,2007,1,AND,6,5,30,10
gigueje01,2008,1,AND,2,2,12,4
gigueje01,2009,1,AND,1,2,8,4
gigueje01,2009,2,TOR,1,2,8,4
gigueje01,2010,1,TOR,2,2,15,7
gigueje01,2011,1,COL,1,2,7,5
grahajo01,2005,1,TBL,4,1,16,4
grahajo01,2006,1,CAR,0,1,3,2
grahajo01,2007,1,CAR,1,0,3,2
greisth01,2009,1,SJS,1,0,6,0
greisth01,2011,1,SJS,1,1,7,2
gustajo01,2009,1,TOR,2,1,7,3
gustajo01,2010,1,TOR,2,1,10,4
gustajo01,2011,1,TOR,1,3,11,4
hackema01,2011,1,MIN,1,0,5,2
halakja01,2006,1,MTL,2,0,8,2
halakja01,2007,1,MTL,0,1,3,1
halakja01,2008,1,MTL,2,1,7,2
halakja01,2009,1,MTL,5,2,21,5
halakja01,2010,1,STL,3,4,29,10
halakja01,2011,1,STL,3,7,32,9
hardijo01,2005,1,MIN,1,0,3,1
hardijo01,2006,1,MIN,0,1,3,1
hardijo01,2007,1,MIN,2,2,14,6
hardijo01,2008,1,MIN,0,1,2,1
hardijo01,2009,1,MIN,2,0,10,1
hardijo01,2011,1,MIN,5,3,23,5
hasekdo01,2005,1,OTT,2,4,16,6
hasekdo01,2006,1,DET,1,5,16,8
hasekdo01,2007,1,DET,3,2,12,3
hedbejo01,2005,1,DAL,4,0,17,3
hedbejo01,2007,1,ATL,5,3,31,7
hedbejo01,2008,1,ATL,3,0,13,1
hedbejo01,2009,1,ATL,4,2,21,5
hedbejo01,2010,1,NJD,2,1,11,3
hedbejo01,2011,1,NJD,5,2,20,7
hillejo01,2007,1,AND,2,1,12,5
hillejo01,2008,1,AND,5,1,31,5
hillejo01,2009,1,AND,3,4,27,10
hillejo01,2010,1,AND,4,2,26,4
hillejo01,2011,1,AND,3,7,40,17
holmqjo01,2006,1,TBL,6,1,33,4
holmqjo01,2007,1,TBL,1,0,4,1
holtbbr01,2010,1,WAS,1,1,7,3
holtbbr01,2011,1,WAS,0,1,4,2
howarji01,2009,1,DET,5,7,54,17
howarji01,2010,1,DET,3,2,17,2
howarji01,2011,1,DET,7,2,27,5
huetcr01,2005,1,MTL,1,2,9,3
huetcr01,2006,1,MTL,2,3,14,8
huetcr01,2007,1,MTL,2,3,13,5
huetcr01,2007,2,WAS,2,0,5,0
huetcr01,2008,1,CHI,2,2,12,5
huetcr01,2009,1,CHI,3,4,38,13
irvinle01,2011,1,CAL,0,1,4,2
johnsbr02,2005,1,WAS,3,1,13,2
johnsbr02,2006,1,WAS,0,5,20,7
johnsbr02,2008,1,WAS,0,1,2,1
johnsbr02,2009,1,PIT,2,0,6,0
johnsbr02,2010,1,PIT,2,1,11,1
johnsbr02,2011,1,PIT,0,1,3,2
johnsch02,2009,1,NYR,0,1,5,2
josepcu01,2005,1,PHO,3,2,19,6
josepcu01,2006,1,PHO,2,1,13,2
josepcu01,2008,1,TOR,2,1,11,3
karlshe01,2010,1,CAL,1,3,11,5
khabini01,2005,1,CHI,2,1,15,5
khabini01,2006,1,CHI,4,4,33,11
khabini01,2007,1,CHI,2,4,19,7
khabini01,2008,1,CHI,2,5,19,9
khabini01,2009,1,EDM,2,2,12,4
khabini01,2010,1,EDM,1,3,18,4
khabini01,2011,1,EDM,0,5,20,12
kiprumi01,2005,1,CAL,1,7,23,12
kiprumi01,2006,1,CAL,3,4,16,7
kiprumi01,2007,1,CAL,3,3,17,6
kiprumi01,2008,1,CAL,3,2,14,3
kiprumi01,2009,1,CAL,2,7,27,15
kiprumi01,2010,1,CAL,8,4,41,12
kiprumi01,2011,1,CAL,3,8,40,15
kolesvi01,2005,1,COL,1,0,7,0
kolziol01,2005,1,WAS,4,5,44,15
kolziol01,2006,1,WAS,1,5,17,9
kolziol01,2007,1,WAS,2,4,34,11
koskimi01,2010,1,NYI,1,0,4,0
labarja01,2005,1,LAK,2,0,5,0
labarja01,2007,1,LAK,2,1,10,5
labarja01,2008,1,LAK,0,3,7,6
labarja01,2008,2,VAN,0,2,9,5
labarja01,2009,1,PHO,6,1,27,8
labarja01,2010,1,PHO,1,1,5,2
labarja01,2011,1,PHO,0,2,11,7
lalimpa01,2005,1,STL,0,2,5,3
lalimpa01,2006,1,CHI,2,1,8,4
lalimpa01,2007,1,CHI,3,0,9,2
lalimpa01,2008,1,BUF,0,3,10,4
lalimpa01,2009,1,BUF,0,2,13,5
lawsona01,2010,1,NYI,1,1,6,4
leclapa01,2005,1,CBS,4,2,18,4
leclapa01,2006,1,CBS,1,1,15,4
leclapa01,2007,1,CBS,3,4,23,10
leclapa01,2008,1,CBS,0,1,3,2
leclapa01,2009,1,OTT,3,1,10,5
legacma01,2005,1,DET,2,2,17,7
legacma01,2006,1,STL,5,3,25,7
legacma01,2007,1,STL,2,3,17,4
legacma01,2008,1,STL,3,1,13,4
legacma01,2009,1,CAR,2,2,16,4
lehtoka01,2005,1,ATL,5,0,20,3
lehtoka01,2006,1,ATL,7,4,30,10
lehtoka01,2007,1,ATL,4,3,18,5
lehtoka01,2008,1,ATL,4,1,22,5
lehtoka01,2009,1,DAL,1,0,4,0
lehtoka01,2010,1,DAL,3,7,33,14
lehtoka01,2011,1,DAL,7,3,39,9
leighmi01,2008,1,CAR,1,1,5,3
leighmi01,2009,1,CAR,1,0,3,0
leighmi01,2009,2,PHI,1,0,2,0
lenevda01,2005,1,PHO,0,1,3,1
lindban01,2011,1,NAS,1,0,3,0
lundqhe01,2005,1,NYR,4,3,37,9
lundqhe01,2006,1,NYR,8,4,50,9
lundqhe01,2007,1,NYR,6,7,42,13
lundqhe01,2008,1,NYR,9,4,40,10
lundqhe01,2009,1,NYR,3,3,22,7
lundqhe01,2010,1,NYR,7,3,46,7
lundqhe01,2011,1,NYR,4,3,25,7
luongro01,2005,1,FLO,4,4,27,7
luongro01,2006,1,VAN,5,3,31,10
luongro01,2007,1,VAN,6,8,54,15
luongro01,2008,1,VAN,3,4,29,8
luongro01,2009,1,VAN,2,3,14,5
luongro01,2010,1,VAN,3,5,26,12
luongro01,2011,1,VAN,6,6,42,17
macdojo01,2006,1,DET,0,1,7,3
macdojo01,2006,2,BOS,0,1,3,2
macdojo01,2008,1,NYI,3,3,15,6
macdojo01,2010,1,DET,1,2,9,2
macdojo01,2011,1,DET,1,1,9,3
markkju01,2005,1,EDM,1,3,16,8
markkju01,2006,1,EDM,0,1,3,2
marksja02,2011,1,FLO,0,1,3,1
masonch02,2005,1,NAS,2,0,5,0
masonch02,2006,1,NAS,4,2,20,6
masonch02,2007,1,NAS,1,4,13,5
masonch02,2008,1,STL,3,4,18,7
masonch02,2009,1,STL,5,3,28,8
masonch02,2010,1,ATL,2,2,17,4
masonch02,2011,1,WPG,1,1,8,3
masonst01,2008,1,CBS,6,5,31,9
masonst01,2009,1,CBS,0,7,28,12
masonst01,2010,1,CBS,4,5,31,10
masonst01,2011,1,CBS,2,2,10,4
mcelhcu01,2009,1,CAL,1,0,4,2
mcelhcu01,2009,2,AND,1,2,8,4
mclenja01,2005,1,FLO,0,1,4,2
mclenja01,2006,1,CAL,0,1,11,4
millery01,2005,1,BUF,3,2,17,5
millery01,2006,1,BUF,10,4,46,9
millery01,2007,1,BUF,4,7,33,14
millery01,2008,1,BUF,8,2,40,9
millery01,2009,1,BUF,4,4,31,11
millery01,2010,1,BUF,2,1,8,4
millery01,2011,1,BUF,5,4,34,11
montoal01,2010,1,NYI,0,2,9,3
montoal01,2011,1,NYI,2,2,13,5
morrimi01,2005,1,EDM,5,2,24,6
munroad01,2005,1,CHI,0,1,4,2
nabokev01,2005,1,SJS,0,4,13,8
nabokev01,2006,1,SJS,2,1,10,4
nabokev01,2007,1,SJS,6,6,40,18
nabokev01,2008,1,SJS,5,4,32,11
nabokev01,2009,1,SJS,6,6,50,13
nabokev01,2011,1,NYI,5,1,18,4
neuvimi01,2010,1,WAS,3,3,21,6
neuvimi01,2011,1,WAS,3,2,17,7
niemian02,2009,1,CHI,6,2,32,6
niemian02,2010,1,SJS,3,5,28,8
niemian02,2011,1,SJS,8,4,40,9
niittan01,2005,1,PHI,3,4,24,10
niittan01,2006,1,PHI,1,4,23,6
niittan01,2007,1,PHI,1,0,3,0
niittan01,2008,1,PHI,2,3,18,6
niittan01,2009,1,TBL,3,4,23,5
niittan01,2010,1,SJS,2,0,4,0
noronmi01,2005,1,BUF,0,0,1,1
norrefr01,2006,1,CBS,3,3,22,8
norrefr01,2007,1,CBS,0,4,10,4
norrefr01,2008,1,CBS,0,1,2,1
osgooch01,2005,1,DET,2,1,8,2
osgooch01,2006,1,DET,1,2,14,6
osgooch01,2007,1,DET,2,3,16,8
osgooch01,2008,1,DET,4,2,21,6
osgooch01,2009,1,DET,1,2,8,4
pavelon01,2009,1,ATL,0,4,11,6
pavelon01,2010,1,ATL,3,5,24,9
pavelon01,2011,1,WPG,3,3,20,8
peterju01,2010,1,CAR,0,1,2,2
peterju01,2011,1,CAR,0,2,6,3
poggeju01,2008,1,TOR,0,1,2,2
poulike01,2010,1,NYI,0,1,3,2
priceca01,2007,1,MTL,3,2,22,4
priceca01,2008,1,MTL,5,6,35,13
priceca01,2009,1,MTL,2,3,17,5
priceca01,2010,1,MTL,3,2,24,6
priceca01,2011,1,MTL,5,8,40,14
prusema01,2005,1,CBS,1,0,8,1
quickjo01,2008,1,LAK,4,1,14,4
quickjo01,2009,1,LAK,8,6,51,17
quickjo01,2010,1,LAK,10,0,44,8
quickjo01,2011,1,LAK,6,8,47,16
ramoka01,2007,1,TBL,0,1,2,2
ramoka01,2008,1,TBL,1,3,13,5
rasktu01,2009,1,BOS,5,4,33,10
rasktu01,2010,1,BOS,1,1,5,2
rasktu01,2011,1,BOS,2,2,14,6
raycran01,2005,1,BOS,0,1,2,1
raycran01,2006,1,TOR,3,6,32,13
raycran01,2007,1,TOR,0,1,6,2
raycran01,2008,1,COL,2,0,8,1
raycran01,2009,1,VAN,2,1,12,6
raycran01,2010,1,DAL,2,0,6,1
reimeja01,2010,1,TOR,1,3,11,3
reimeja01,2011,1,TOR,2,1,8,3
rinnepe01,2008,1,NAS,5,2,24,5
rinnepe01,2009,1,NAS,6,3,45,11
rinnepe01,2010,1,NAS,6,4,34,7
rinnepe01,2011,1,NAS,4,5,30,9
rolosdw01,2005,1,MIN,0,1,8,2
rolosdw01,2005,2,EDM,1,3,12,7
rolosdw01,2006,1,EDM,3,2,21,6
rolosdw01,2007,1,EDM,5,4,37,10
rolosdw01,2008,1,EDM,4,4,24,5
rolosdw01,2009,1,NYI,5,5,39,15
rolosdw01,2010,1,NYI,0,1,3,2
rolosdw01,2010,2,TBL,3,3,24,6
rolosdw01,2011,1,TBL,2,2,15,5
sabouda01,2006,1,VAN,0,1,4,2
sabouda01,2007,1,PIT,4,1,26,6
sabouda01,2008,1,PIT,3,2,19,5
sanfocu01,2005,1,STL,3,5,25,10
sanfocu01,2006,1,STL,0,2,6,5
sanfocu01,2007,1,VAN,0,1,4,2
sanfocu01,2011,1,CBS,2,3,15,5
sauveph01,2005,1,CAL,1,0,3,0
schaeno01,2005,1,SJS,1,0,4,1
schneco01,2008,1,VAN,0,1,3,3
schneco01,2010,1,VAN,1,0,3,0
schneco01,2011,1,VAN,2,1,8,3
scrivbe01,2011,1,TOR,1,1,5,2
shielst01,2005,1,ATL,0,1,2,1
smithmi02,2006,1,DAL,1,0,3,0
smithmi02,2007,1,DAL,2,0,6,0
smithmi02,2008,1,TBL,2,7,27,15
smithmi02,2009,1,TBL,1,3,14,5
smithmi02,2010,1,TBL,1,0,4,0
smithmi02,2011,1,PHO,6,8,46,15
tellqmi01,2005,1,TOR,1,1,5,2
tellqmi01,2006,2,PHO,3,1,16,4
tellqmi01,2007,1,PHO,0,2,16,4
tellqmi01,2008,1,PHO,1,0,8,1
theodjo01,2005,1,MTL,1,1,6,1
theodjo01,2006,1,COL,2,0,6,0
theodjo01,2007,1,COL,6,1,28,6
theodjo01,2008,1,WAS,4,4,22,6
theodjo01,2009,1,WAS,2,2,16,7
theodjo01,2010,1,MIN,2,1,15,7
theodjo01,2011,1,FLO,4,7,37,14
thibajo01,2005,1,PIT,1,1,12,3
thibajo01,2006,1,PIT,1,1,5,3
thibajo01,2007,1,BUF,0,2,10,3
thomati01,2005,1,BOS,2,6,31,9
thomati01,2006,1,BOS,8,2,46,8
thomati01,2007,1,BOS,3,4,18,6
thomati01,2008,1,BOS,4,4,28,9
thomati01,2009,1,BOS,5,5,33,9
thomati01,2010,1,BOS,1,5,19,9
thomati01,2011,1,BOS,7,1,26,6
toivoha01,2005,1,BOS,0,1,3,2
toivoha01,2006,1,BOS,1,1,8,3
toivoha01,2007,1,STL,1,2,9,2
toskave01,2005,1,SJS,0,3,12,5
toskave01,2006,1,SJS,0,1,3,3
toskave01,2007,1,TOR,2,3,15,6
toskave01,2008,1,TOR,4,5,29,14
toskave01,2009,1,TOR,1,1,4,2
turcoma01,2005,1,DAL,8,1,24,6
turcoma01,2006,1,DAL,8,4,46,11
turcoma01,2007,1,DAL,3,3,23,9
turcoma01,2008,1,DAL,5,6,43,16
turcoma01,2009,1,DAL,4,8,53,15
turcoma01,2010,1,CHI,2,2,13,7
valiqst01,2006,1,NYR,1,0,4,2
valiqst01,2007,1,NYR,2,2,11,3
valiqst01,2008,1,NYR,1,2,12,3
varlasi01,2009,1,WAS,3,4,33,9
varlasi01,2010,1,WAS,1,2,8,3
varlasi01,2011,1,COL,8,0,24,2
vokouto01,2005,1,NAS,4,3,20,8
vokouto01,2006,1,NAS,2,3,17,7
vokouto01,2007,1,FLO,5,6,41,11
vokouto01,2008,1,FLO,3,4,19,6
vokouto01,2009,1,FLO,4,9,49,19
vokouto01,2010,1,FLO,2,1,13,2
vokouto01,2011,1,WAS,1,1,4,2
wardca01,2005,1,CAR,1,0,3,0
wardca01,2006,1,CAR,0,4,14,6
wardca01,2007,1,CAR,1,3,11,6
wardca01,2008,1,CAR,2,4,19,7
wardca01,2009,1,CAR,1,3,13,7
wardca01,2010,1,CAR,5,4,25,6
wardca01,2011,1,CAR,1,4,14,6
weekeke01,2005,1,NYR,3,1,13,6
weekeke01,2006,1,NYR,0,1,3,1
weekeke01,2008,1,NJD,2,0,6,2
