playerID,year,tmID,lgID,pos,GP,G,A,Pts,PIM
adamsbi01,1920,VML,PCHA,R,4,0,0,0,0
adamsja01,1920,VML,PCHA,C,5,2,1,3,6
adamsja01,1921,VML,PCHA,C,5,6,1,7,18
anderer02,1923,CAT,WCHL,R,2,0,0,0,2
anderjo03,1924,VIC,WCHL,L,4,1,0,1,10
anderjo03,1925,VIC,WCHL,L,1,0,0,0,0
andrell01,1921,TRS,NHL,F,5,2,0,2,3
arbouam01,1915,MOC,NHA,L,4,3,0,3,8
arbouty01,1922,EDE,WCHL,L,2,0,0,0,0
barboal01,1915,PO1,PCHA,C,5,0,0,0,0
bellbi01,1923,MTL,NHL,F,3,0,0,0,0
benedcl01,1914,OT1,NHA,G,3,0,0,0,0
benedcl01,1919,OTS,NHL,G,5,0,0,0,0
benedcl01,1920,OTS,NHL,G,5,0,0,0,0
benedcl01,1922,OTS,NHL,G,6,0,0,0,2
benedcl01,1925,MTM,NHL,G,4,0,0,0,0
bensobo01,1923,CAT,WCHL,D,2,0,0,0,0
berlilo01,1915,MOC,NHA,L,2,0,0,0,0
berlilo01,1916,MOC,NHA,L,4,0,0,0,0
berlilo01,1918,MTL,NHL,L,5,1,1,2,0
bostrhe01,1922,EDE,WCHL,D,1,0,0,0,0
bostrhe01,1923,VAM,PCHA,D,2,1,0,1,0
bouchbi01,1923,MTL,NHL,R,4,5,1,6,6
bouchbi01,1924,MTL,NHL,R,4,1,1,2,13
bouchbo01,1923,MTL,NHL,F,3,0,0,0,0
bouchfr01,1922,VAM,PCHA,C,4,2,0,2,0
bouchfr01,1923,VAM,PCHA,C,2,1,1,2,2
bouchge01,1919,OTS,NHL,D,5,2,0,2,2
bouchge01,1920,OTS,NHL,D,5,2,0,2,9
bouchge01,1922,OTS,NHL,D,6,2,1,3,6
brandru01,1922,EDE,WCHL,L,1,0,0,0,0
broadpu01,1914,OT1,NHA,R,3,3,0,3,9
broadpu01,1919,OTS,NHL,R,4,0,0,0,3
broadpu01,1920,OTS,NHL,R,4,2,0,2,0
broadpu01,1922,OTS,NHL,R,6,6,1,7,12
broadpu01,1925,MTM,NHL,R,4,1,0,1,20
brucemo01,1919,OTS,NHL,F,5,0,0,0,0
brucemo01,1920,OTS,NHL,F,5,0,0,0,0
camerbi01,1923,MTL,NHL,R,4,0,0,0,0
camerha01,1913,TBS,NHA,D,2,1,0,1,4
camerha01,1917,TOA,NHL,D,5,3,1,4,0
camerha01,1921,TRS,NHL,D,4,0,2,2,11
campbea01,1922,EDE,WCHL,L,2,0,0,0,0
carpeed01,1916,SEA,PCHA,D,4,0,0,0,3
carsofr01,1925,MTM,NHL,R,4,0,0,0,0
clancki01,1922,OTS,NHL,D,6,1,0,1,4
cleghod01,1918,MTL,NHL,C,5,2,0,2,9
cleghod01,1923,MTL,NHL,R/C,4,0,1,1,0
cleghod01,1924,MTL,NHL,R/C,4,0,0,0,0
cleghsp01,1919,OTS,NHL,D,5,0,1,1,4
cleghsp01,1920,OTS,NHL,D,5,1,2,3,0
cleghsp01,1923,MTL,NHL,D,4,2,1,3,2
cleghsp01,1924,MTL,NHL,D,4,0,0,0,2
cookll01,1914,VML,PCHA,D,3,3,0,3,9
cookll01,1917,VML,PCHA,D,5,2,0,2,12
cookll01,1920,VML,PCHA,D,5,2,0,2,20
cookll01,1921,VML,PCHA,D,5,1,0,1,6
cookll01,1922,VAM,PCHA,D,4,0,1,1,4
cookll01,1923,VAM,PCHA,D,2,0,0,0,4
corbebe01,1915,MOC,NHA,D,5,0,1,1,32
corbebe01,1916,MOC,NHA,D,4,2,1,3,3
corbebe01,1918,MTL,NHL,D,5,0,1,1,3
corbeco01,1913,TBS,NHA,D,2,0,0,0,0
cotchch01,1922,VAM,PCHA,L,2,0,0,0,0
cotchch01,1923,VAM,PCHA,L,1,0,0,0,0
coutubi01,1916,MOC,NHA,D,4,0,0,0,36
coutubi01,1918,MTL,NHL,D,5,0,1,1,0
coutubi01,1923,MTL,NHL,D,4,0,0,0,0
coutubi01,1924,MTL,NHL,D,4,1,0,1,10
crawfru01,1912,QU1,NHA,R,3,3,0,3,19
crawfru01,1923,CAT,WCHL,L,2,0,0,0,0
darraja01,1914,OT1,NHA,C,2,3,0,3,6
darraja01,1919,OTS,NHL,R/L,5,5,2,7,3
darraja01,1920,OTS,NHL,R/L,5,5,0,5,12
davidal01,1913,TBS,NHA,R,2,1,0,1,7
denneco01,1917,TOA,NHL,L/C,5,3,1,4,0
denneco01,1921,TRS,NHL,L/C,5,3,2,5,2
denneco01,1922,VAM,PCHA,C,3,0,0,0,0
dennecy01,1919,OTS,NHL,L,5,0,2,2,3
dennecy01,1920,OTS,NHL,L,5,2,2,4,10
dennecy01,1922,OTS,NHL,L,6,1,1,2,8
desirsy01,1920,VML,PCHA,D,4,0,0,0,6
dinsmch01,1925,MTM,NHL,F,4,0,0,0,2
duforan01,1914,OT1,NHA,C,2,0,1,1,0
duncaar01,1920,VML,PCHA,D,5,2,1,3,3
duncaar01,1921,VML,PCHA,D,5,0,1,1,9
duncaar01,1922,VAM,PCHA,D,4,2,2,4,0
duncaar01,1923,VAM,PCHA,D,2,0,0,0,6
dundeto01,1912,VA1,PCHA,C,3,3,0,3,8
dundeto01,1913,VA1,PCHA,C,3,2,0,2,11
dundeto01,1915,PO1,PCHA,C,5,1,0,1,9
duttore01,1923,CAT,WCHL,D,2,0,0,0,9
dyeba01,1921,TRS,NHL,R,5,9,1,10,3
foystfr01,1913,TBS,NHA,C,3,2,0,2,3
foystfr01,1916,SEA,PCHA,L,4,7,2,9,3
foystfr01,1918,SEA,PCHA,L,5,9,1,10,0
foystfr01,1919,SEA,PCHA,C,5,6,1,7,7
foystfr01,1924,VIC,WCHL,C,4,1,0,1,0
foystfr01,1925,VIC,WCHL,L,4,0,0,0,2
frasego01,1924,VIC,WCHL,D,4,2,1,3,6
frasego01,1925,VIC,WCHL,D,4,0,0,0,14
fredrfr01,1924,VIC,WCHL,C,4,3,3,6,6
fredrfr01,1925,VIC,WCHL,C,4,1,1,2,10
gagnear01,1922,EDE,WCHL,R,2,0,0,0,2
gardihe01,1923,CAT,WCHL,D,2,1,0,1,0
gengebo01,1912,VA1,PCHA,C,3,3,0,3,14
gengebo01,1913,VA1,PCHA,C,3,0,0,0,15
gerared01,1914,OT1,NHA,L,3,1,2,3,14
gerared01,1919,OTS,NHL,D,5,2,1,3,3
gerared01,1920,OTS,NHL,D,5,0,0,0,44
gerared01,1921,TRS,NHL,D,1,0,0,0,0
gerared01,1922,OTS,NHL,D,6,1,0,1,4
grahale01,1914,OT1,NHA,L,3,1,0,1,0
griffsi01,1917,VML,PCHA,D,5,1,0,1,9
haldeha01,1924,VIC,WCHL,R,4,2,1,3,8
haldeha01,1925,VIC,WCHL,D,4,1,0,1,8
halljo01,1912,QU1,NHA,D,3,0,0,0,7
halljo01,1918,MTL,NHL,D,5,0,0,0,6
harrism01,1915,PO1,PCHA,L,5,4,2,6,23
harrism01,1920,VML,PCHA,L,5,2,1,3,6
harrism01,1922,VAM,PCHA,L,4,1,0,1,8
hartgi01,1924,VIC,WCHL,R,4,2,1,3,0
hartgi01,1925,VIC,WCHL,R,4,0,0,0,2
headlfe01,1924,MTL,NHL,D,4,0,0,0,0
helmaha01,1922,OTS,NHL,D,2,0,0,0,0
hitchli01,1922,OTS,NHL,D,5,1,0,1,4
holmeha01,1913,TBS,NHA,G,3,0,0,0,0
holmeha01,1916,SEA,PCHA,G,4,0,0,0,0
holmeha01,1917,TOA,NHL,G,5,0,0,0,0
holmeha01,1918,SEA,PCHA,G,5,0,0,0,0
holmeha01,1919,SEA,PCHA,G,5,0,0,0,0
holmeha01,1924,VIC,WCHL,G,4,0,0,0,0
holmeha01,1925,VIC,WCHL,G,4,0,0,0,0
holwaal01,1925,MTM,NHL,D,2,0,0,0,0
irvinde01,1915,PO1,PCHA,D,5,0,0,0,14
johnsmo01,1915,PO1,PCHA,D,5,1,1,2,9
joliaau01,1923,MTL,NHL,L,4,3,1,4,6
joliaau01,1924,MTL,NHL,L,4,2,0,2,16
keatsdu01,1922,EDE,WCHL,C,2,0,0,0,4
kerral02,1913,VA1,PCHA,R,3,1,0,1,3
lalonne01,1915,MOC,NHA,C,4,3,2,5,28
lalonne01,1916,MOC,NHA,C,4,1,0,1,21
lalonne01,1918,MTL,NHL,C,5,6,0,6,3
lavioja01,1915,MOC,NHA,L,2,0,0,0,6
lavioja01,1916,MOC,NHA,L,4,1,2,3,9
lehmahu01,1914,VML,PCHA,G,3,0,0,0,0
lehmahu01,1917,VML,PCHA,G,5,0,0,0,0
lehmahu01,1920,VML,PCHA,G,5,0,0,0,0
lehmahu01,1921,VML,PCHA,G,5,0,0,0,0
lehmahu01,1922,VAM,PCHA,G,4,0,0,0,0
lehmahu01,1923,VAM,PCHA,G,2,0,0,0,0
lindsbe01,1912,VA1,PCHA,G,3,0,0,0,0
lindsbe01,1913,VA1,PCHA,G,3,0,0,0,0
loughcl01,1924,VIC,WCHL,D,4,1,0,1,4
loughcl01,1925,VIC,WCHL,D,4,1,0,1,8
mackami01,1914,VML,PCHA,L,3,4,2,6,6
mackami01,1917,VML,PCHA,C,5,5,5,10,12
mackami01,1920,VML,PCHA,C,5,0,1,1,0
mackami01,1921,VML,PCHA,L,5,1,0,1,6
mackami01,1922,VAM,PCHA,L,4,1,0,1,4
mackami01,1923,VAM,PCHA,L,2,0,0,0,0
mackeja01,1919,OTS,NHL,F,5,0,0,0,0
mackeja01,1920,OTS,NHL,F,4,0,0,0,0
malleke01,1914,VML,PCHA,C,3,0,0,0,0
malonjo01,1912,QU1,NHA,C,3,2,0,2,2
manthsy01,1923,MTL,NHL,D,4,0,0,0,0
manthsy01,1924,MTL,NHL,D,4,0,0,0,2
marksja01,1912,QU1,NHA,R,3,2,0,2,2
marshja02,1913,TBS,NHA,D,3,1,0,1,2
mattejo01,1923,VAM,PCHA,D,2,1,0,1,2
matzjo01,1924,MTL,NHL,F,4,0,0,0,2
mcdonja01,1918,MTL,NHL,C,5,1,1,2,3
mcdonra01,1917,VML,PCHA,L,3,2,1,3,9
mcdonra01,1918,SEA,PCHA,L,5,1,1,2,3
mcgifro01,1913,TBS,NHA,F,3,2,0,2,25
mcnamge02,1913,TBS,NHA,D,3,2,0,2,4
mcnamho01,1915,MOC,NHA,D,5,0,1,1,21
meekiha01,1917,TOA,NHL,L,5,1,2,3,0
meekiha01,1924,VIC,WCHL,L,4,0,1,1,2
meekiha01,1925,VIC,WCHL,L,4,0,0,0,6
merriho01,1914,OT1,NHA,D,3,0,0,0,0
moranpa01,1912,QU1,NHA,G,3,0,0,0,0
morenho01,1923,MTL,NHL,C,4,4,2,6,4
morenho01,1924,MTL,NHL,C,4,4,1,5,4
morribe01,1916,SEA,PCHA,R,4,14,2,16,0
morribe01,1919,SEA,PCHA,C,5,0,2,2,0
morribe01,1923,CAT,WCHL,C,2,0,0,0,2
morrijo01,1922,EDE,WCHL,R,2,1,0,1,0
moynesp01,1917,VML,PCHA,R,4,0,0,0,9
mummeha01,1912,QU1,NHA,D,3,1,0,1,7
mummeha01,1916,MOC,NHA,D,4,0,0,0,35
mummeha01,1917,TOA,NHL,D,5,0,6,6,0
munrodu01,1925,MTM,NHL,D,4,1,0,1,6
murramu01,1918,SEA,PCHA,D,5,2,0,2,6
murrato01,1915,PO1,PCHA,G,5,0,0,0,0
nichosi01,1919,SEA,PCHA,L,4,0,0,0,0
nighbfr01,1914,VML,PCHA,C,3,4,6,10,6
nighbfr01,1919,OTS,NHL,C,5,6,1,7,2
nighbfr01,1920,OTS,NHL,C,5,0,1,1,0
nighbfr01,1922,OTS,NHL,C,6,1,1,2,10
noblere01,1917,TOA,NHL,L,5,2,1,3,0
noblere01,1921,TRS,NHL,L,5,0,1,1,9
noblere01,1925,MTM,NHL,D,4,0,0,0,4
oatmaed01,1915,PO1,PCHA,C,5,3,1,4,16
oatmaed01,1921,VML,PCHA,R,5,1,1,2,14
oatmaed01,1923,CAT,WCHL,C,2,0,1,1,0
oatmaru01,1925,VIC,WCHL,R,4,0,0,0,10
oliveha01,1923,CAT,WCHL,R,2,0,0,0,0
parkeer01,1921,VML,PCHA,R,5,0,3,3,0
parkeer01,1922,VAM,PCHA,R,4,0,2,2,2
parkeer01,1923,VAM,PCHA,R,2,0,0,0,0
patrifr01,1914,VML,PCHA,D,3,2,1,3,6
patrile01,1912,VA1,PCHA,D,3,4,0,4,4
patrile01,1913,VA1,PCHA,D,3,2,0,2,5
phillme01,1925,MTM,NHL,F,4,1,1,2,0
pitredi01,1915,MOC,NHA,R,5,4,1,5,15
pitredi01,1916,MOC,NHA,R,4,5,0,5,6
pitredi01,1918,MTL,NHL,R,5,0,3,3,0
poulisk01,1912,VA1,PCHA,L,3,2,0,2,5
poulisk01,1913,VA1,PCHA,L,3,2,0,2,17
poulisk01,1915,MOC,NHA,C,5,1,1,2,6
prodggo01,1912,VA1,PCHA,R,2,1,0,1,2
prodggo01,1915,MOC,NHA,D,5,3,1,4,6
randake01,1917,TOA,NHL,R/D,5,1,0,1,0
randake01,1921,TRS,NHL,D/R,4,1,0,1,19
reidch01,1923,CAT,WCHL,G,2,0,0,0,0
rickero01,1916,SEA,PCHA,D,4,0,1,1,23
rickero01,1918,SEA,PCHA,D,5,1,2,3,0
rickero01,1919,SEA,PCHA,D,5,2,0,2,9
rileyji01,1916,SEA,PCHA,L,4,0,0,0,3
rileyji01,1919,SEA,PCHA,L,5,0,1,1,0
roachjo01,1921,TRS,NHL,G,5,0,0,0,0
ronansk01,1915,MOC,NHA,R,4,1,0,1,6
rossar01,1914,OT1,NHA,D,3,0,0,0,12
rothssa01,1925,MTM,NHL,F,4,0,0,0,0
rowebo01,1912,VA1,PCHA,D,3,2,0,2,9
rowebo01,1913,VA1,PCHA,D,3,0,0,0,3
rowebo01,1916,SEA,PCHA,D,4,0,2,2,0
rowebo01,1918,SEA,PCHA,D,5,1,0,1,6
rowebo01,1919,SEA,PCHA,D,5,2,1,3,13
sheppjo01,1922,EDE,WCHL,C,1,0,0,0,0
shoreha01,1914,OT1,NHA,D,3,0,0,0,3
siebeba01,1925,MTM,NHL,L,4,1,2,3,4
simpsjo01,1922,EDE,WCHL,D,2,0,1,1,0
skinnal01,1917,TOA,NHL,R,5,8,2,10,0
skinnal01,1920,VML,PCHA,R,3,4,0,4,14
skinnal01,1921,VML,PCHA,R,5,0,1,1,12
skinnal01,1922,VAM,PCHA,R,3,1,1,2,6
skinnal01,1923,VAM,PCHA,R,2,0,0,0,0
smailwa01,1912,VA1,PCHA,L,1,0,0,0,0
smailwa01,1913,VA1,PCHA,L,3,1,0,1,2
smithto01,1912,QU1,NHA,L,3,4,0,4,0
smithto01,1916,MOC,NHA,C,4,2,0,2,3
smyliro01,1921,TRS,NHL,L,5,1,3,4,0
stackte01,1921,TRS,NHL,D,4,0,0,0,0
stanlba01,1914,VML,PCHA,R,3,6,0,6,0
stanlba01,1917,VML,PCHA,R,5,2,0,2,6
stewane01,1925,MTM,NHL,C,4,6,1,7,14
stuarbi01,1921,TRS,NHL,D,5,0,2,2,6
taylocy01,1914,VML,PCHA,R/L,3,7,3,10,3
taylocy01,1917,VML,PCHA,L,5,9,0,9,15
taylocy01,1920,VML,PCHA,L,3,0,1,1,5
tobinch01,1915,PO1,PCHA,R,5,2,1,3,12
tobinch01,1919,SEA,PCHA,R,5,0,0,0,0
tobinch01,1921,VML,PCHA,R,5,0,0,0,0
trappbo01,1922,EDE,WCHL,D,2,0,0,0,2
uksilch01,1915,PO1,PCHA,R,5,2,0,2,6
ulricja01,1913,VA1,PCHA,R,3,0,0,0,3
vezinge01,1915,MOC,NHA,G,5,0,0,0,0
vezinge01,1916,MOC,NHA,G,4,0,0,0,0
vezinge01,1918,MTL,NHL,G,5,0,0,0,0
vezinge01,1923,MTL,NHL,G,4,0,0,0,0
vezinge01,1924,MTL,NHL,G,4,0,0,0,0
walkeja01,1913,TBS,NHA,L,3,1,0,1,3
walkeja01,1916,SEA,PCHA,C,4,1,2,3,0
walkeja01,1918,SEA,PCHA,C,5,3,0,3,9
walkeja01,1919,SEA,PCHA,C,5,1,3,4,0
walkeja01,1924,VIC,WCHL,L,4,4,2,6,0
walkeja01,1925,VIC,WCHL,C,4,0,0,0,0
wilsocu01,1913,TBS,NHA,R,3,3,0,3,15
wilsocu01,1916,SEA,PCHA,R,4,1,2,3,0
wilsocu01,1918,SEA,PCHA,R,5,1,3,4,6
wilsocu01,1923,CAT,WCHL,L,2,0,0,0,2
winklha01,1922,EDE,WCHL,G,2,0,0,0,0
