year,lgID,tmID,G,W,L,T,GF,GA,PIM,BenchMinor,PPG,PPC,SHA,PKG,PKC,SHF
1913,NHA,MOC,2,1,1,0,2,6,,,,,,,,
1913,NHA,TBS,2,1,1,0,6,2,,,,,,,,
1914,NHA,MOW,2,1,1,0,1,4,,,,,,,,
1914,NHA,OT1,2,1,1,0,4,1,,,,,,,,
1916,NHA,MOC,2,1,1,0,7,6,,,,,,,,
1916,NHA,OT1,2,1,1,0,6,7,,,,,,,,
1917,NHL,MTL,2,1,1,0,7,10,59,,,,,,,
1917,NHL,TOA,2,1,1,0,10,7,68,,,,,,,
1917,PCHA,SEA,2,0,1,1,2,3,,,,,,,,
1917,PCHA,VML,2,1,0,1,3,2,,,,,,,,
1918,NHL,MTL,5,4,1,0,26,18,87,,,,,,,
1918,NHL,OTS,5,1,4,0,18,26,69,,,,,,,
1918,PCHA,SEA,2,1,1,0,7,5,,,,,,,,
1918,PCHA,VML,2,1,1,0,5,7,,,,,,,,
1919,PCHA,SEA,2,1,1,0,7,3,,,,,,,,
1919,PCHA,VML,2,1,1,0,3,7,,,,,,,,
1920,NHL,OTS,2,2,0,0,7,0,31,,,,,,,
1920,NHL,TRS,2,0,2,0,0,7,24,,,,,,,
1920,PCHA,SEA,2,0,2,0,2,13,,,,,,,,
1920,PCHA,VML,2,2,0,0,13,2,,,,,,,,
1921,NHL,OTS,2,0,1,1,4,5,30,,,,,,,
1921,NHL,TRS,2,1,0,1,5,4,28,,,,,,,
1921,PCHA,SEA,2,0,2,0,0,2,,,,,,,,
1921,PCHA,VML,4,3,1,0,7,2,,,,,,,,
1921,WCHL,CAT,2,0,1,1,1,2,,,,,,,,
1921,WCHL,EDE,2,0,1,1,2,3,,,,,,,,
1921,WCHL,REG,6,3,1,2,7,8,,,,,,,,
1922,NHL,MTL,2,1,1,0,2,3,44,,,,,,,
1922,NHL,OTS,2,1,1,0,3,2,8,,,,,,,
1922,PCHA,VC1,2,1,1,0,3,5,,,,,,,,
1922,PCHA,VAM,2,1,1,0,5,3,,,,,,,,
1922,WCHL,EDE,2,1,0,1,4,3,,,,,,,,
1922,WCHL,REG,2,0,1,1,3,4,,,,,,,,
1923,NHL,MTL,2,2,0,0,5,2,15,,,,,,,
1923,NHL,OTS,2,0,2,0,2,5,28,,,,,,,
1923,PCHA,SEA,2,0,1,1,3,4,,,,,,,,
1923,PCHA,VAM,5,2,2,1,11,13,,,,,,,,
1923,WCHL,CAT,5,3,1,1,14,9,,,,,,,,
1923,WCHL,REG,2,0,1,1,2,4,,,,,,,,
1924,NHL,MTL,2,2,0,0,5,2,17,,,,,,,
1924,NHL,TRS,2,0,2,0,2,5,21,,,,,,,
1924,WCHL,CAT,2,0,1,1,1,3,,,,,,,,
1924,WCHL,SAS,2,0,1,1,4,6,,,,,,,,
1924,WCHL,VIC,4,2,0,2,9,5,,,,,,,,
1925,NHL,MTM,4,2,0,2,8,5,40,,,,,,,
1925,NHL,OTS,2,0,1,1,1,2,42,,,,,,,
1925,NHL,PIP,2,0,1,1,4,6,10,,,,,,,
1925,WCHL,EDE,2,0,1,1,3,5,,,,,,,,
1925,WCHL,SAS,2,0,1,1,3,4,,,,,,,,
1925,WCHL,VIC,4,2,0,2,9,6,,,,,,,,
1926,NHL,BOS,8,2,2,4,16,13,125,,,,,,,
1926,NHL,CHI,2,0,1,1,5,10,30,,,,,,,
1926,NHL,MTL,4,1,1,2,3,6,30,,,,,,,
1926,NHL,MTM,2,0,1,1,1,2,18,,,,,,,
1926,NHL,NYR,2,0,1,1,1,3,36,,,,,,,
1926,NHL,OTS,6,3,0,3,12,4,85,,,,,,,
1927,NHL,BOS,2,0,1,1,2,5,32,,,,,,,
1927,NHL,MTL,2,0,1,1,2,3,35,,,,,,,
1927,NHL,MTM,9,5,3,1,12,8,164,,,,,,,
1927,NHL,NYR,9,5,3,1,16,12,152,,,,,,,
1927,NHL,OTS,2,0,2,0,1,3,24,,,,,,,
1927,NHL,PIP,2,1,1,0,4,6,12,,,,,,,
1928,NHL,BOS,5,5,0,0,9,3,76,,,,,,,
1928,NHL,DTC,2,0,2,0,2,7,24,,,,,,,
1928,NHL,MTL,3,0,3,0,2,5,48,,,,,,,
1928,NHL,NYA,2,0,1,1,0,1,18,,,,,,,
1928,NHL,NYR,6,3,2,1,5,5,64,,,,,,,
1928,NHL,TOR,4,2,2,0,8,5,42,,,,,,,
1929,NHL,BOS,6,3,3,0,14,12,90,,,,,,,
1929,NHL,CHI,2,0,1,1,2,3,50,,,,,,,
1929,NHL,MTL,6,5,0,1,14,6,100,,,,,,,
1929,NHL,MTM,4,1,3,0,5,11,56,,,,,,,
1929,NHL,NYR,4,1,2,1,7,7,77,,,,,,,
1929,NHL,OTS,2,0,1,1,3,6,29,,,,,,,
1930,NHL,BOS,5,2,3,0,13,13,66,,,,,,,
1930,NHL,CHI,9,5,3,1,15,14,98,,,,,,,
1930,NHL,MTL,10,6,4,0,24,21,105,,,,,,,
1930,NHL,MTM,2,0,2,0,1,8,28,,,,,,,
1930,NHL,NYR,4,2,2,0,8,4,35,,,,,,,
1930,NHL,TOR,2,0,1,1,3,4,13,,,,,,,
1931,NHL,CHI,2,1,1,0,2,6,18,,,,,,,
1931,NHL,DTF,2,0,1,1,1,3,10,,,,,,,
1931,NHL,MTL,4,1,3,0,9,13,48,,,,,,,
1931,NHL,MTM,4,1,1,2,6,5,24,,,,,,,
1931,NHL,NYR,7,3,4,0,23,27,98,,,,,,,
1931,NHL,TOR,7,5,1,1,28,15,95,,,,,,,
1932,NHL,BOS,5,2,3,0,7,9,50,,,,,,,
1932,NHL,DET,4,2,2,0,8,8,41,,,,,,,
1932,NHL,MTL,2,0,1,1,5,8,16,,,,,,,
1932,NHL,MTM,2,0,2,0,2,5,20,,,,,,,
1932,NHL,NYR,8,6,1,1,25,13,103,,,,,,,
1932,NHL,TOR,9,4,5,0,14,18,99,,,,,,,
1933,NHL,CHI,8,6,1,1,19,12,51,,,,,,,
1933,NHL,DET,9,4,5,0,18,21,65,,,,,,,
1933,NHL,MTL,2,0,1,1,3,4,8,,,,,,,
1933,NHL,MTM,4,1,2,1,4,7,26,,,,,,,
1933,NHL,NYR,2,0,1,1,1,2,18,,,,,,,
1933,NHL,TOR,5,2,3,0,12,11,67,,,,,,,
1934,NHL,BOS,4,1,3,0,2,7,25,,,,,,,
1934,NHL,CHI,2,0,1,1,0,1,16,,,,,,,
1934,NHL,MTL,2,0,1,1,5,6,38,,,,,,,
1934,NHL,MTM,7,5,0,2,16,8,56,,,,,,,
1934,NHL,NYR,4,1,1,2,10,10,27,,,,,,,
1934,NHL,TOR,7,3,4,0,11,12,61,,,,,,,
1935,NHL,BOS,2,1,1,0,6,8,28,,,,,,,
1935,NHL,CHI,2,1,1,0,5,7,8,,,,,,,
1935,NHL,DET,7,6,1,0,24,12,36,,,,,,,
1935,NHL,MTM,3,0,3,0,1,6,22,,,,,,,
1935,NHL,NYA,5,2,3,0,10,11,29,,,,,,,
1935,NHL,TOR,9,4,5,0,25,27,76,,,,,,,
1936,NHL,BOS,3,1,2,0,6,8,15,,,,,,,
1936,NHL,DET,10,6,4,0,22,16,57,,,,,,,
1936,NHL,MTL,5,2,3,0,8,13,15,,,,,,,
1936,NHL,MTM,5,2,3,0,8,11,21,,,,,,,
1936,NHL,NYR,9,6,3,0,18,10,68,,,,,,,
1936,NHL,TOR,2,0,2,0,1,5,21,,,,,,,
1937,NHL,BOS,3,0,3,0,3,6,28,,,,,,,
1937,NHL,CHI,10,7,3,0,26,21,66,,,,,,,
1937,NHL,MTL,3,1,2,0,8,11,24,,,,,,,
1937,NHL,NYA,6,3,3,0,13,12,42,,,,,,,
1937,NHL,NYR,3,1,2,0,7,8,24,,,,,,,
1937,NHL,TOR,7,4,3,0,14,13,59,,,,,,,
1938,NHL,BOS,12,8,4,0,26,18,98,,,,,,,
1938,NHL,DET,6,3,3,0,16,15,51,,,,,,,
1938,NHL,MTL,3,1,2,0,5,8,39,,,,,,,
1938,NHL,NYA,2,0,2,0,0,6,50,,,,,,,
1938,NHL,NYR,7,3,4,0,12,14,74,,,,,,,
1938,NHL,TOR,10,5,5,0,22,20,86,,,,,,,
1939,NHL,BOS,6,2,4,0,9,15,22,,,,,,,
1939,NHL,CHI,2,0,2,0,3,5,14,,,,,,,
1939,NHL,DET,5,2,3,0,11,12,51,,,,,,,
1939,NHL,NYA,3,1,2,0,7,9,18,,,,,,,
1939,NHL,NYR,12,8,4,0,29,20,137,,,,,,,
1939,NHL,TOR,10,6,4,0,21,19,123,,,,,,,
1940,NHL,BOS,11,8,3,0,27,23,81,,,,,,,
1940,NHL,CHI,5,2,3,0,10,12,62,,,,,,,
1940,NHL,DET,9,4,5,0,17,20,96,,,,,,,
1940,NHL,MTL,3,1,2,0,7,8,34,,,,,,,
1940,NHL,NYR,3,1,2,0,6,6,41,,,,,,,
1940,NHL,TOR,7,3,4,0,17,15,52,,,,,,,
1941,NHL,BOS,5,2,3,0,10,16,30,,,,,,,
1941,NHL,CHI,3,1,2,0,7,5,10,,,,,,,
1941,NHL,DET,12,7,5,0,36,38,185,,,,,,,
1941,NHL,MTL,3,1,2,0,8,8,19,,,,,,,
1941,NHL,NYR,6,2,4,0,12,13,60,,,,,,,
1941,NHL,TOR,13,8,5,0,38,31,117,,,,,,,
1942,NHL,BOS,9,4,5,0,23,33,96,,,,,,,
1942,NHL,DET,10,8,2,0,36,22,87,,,,,,,
1942,NHL,MTL,5,1,4,0,17,18,50,,,,,,,
1942,NHL,TOR,6,2,4,0,17,20,46,,,,,,,
1943,NHL,CHI,9,4,5,0,25,24,60,,,,,,,
1943,NHL,DET,5,1,4,0,8,17,39,,,,,,,
1943,NHL,MTL,9,8,1,0,39,14,102,,,,,,,
1943,NHL,TOR,5,1,4,0,6,23,48,,,,,,,
1944,NHL,BOS,7,3,4,0,22,22,30,,,,,,,
1944,NHL,DET,14,7,7,0,31,31,40,,,,,,,
1944,NHL,MTL,6,2,4,0,21,15,45,,,,,,,
1944,NHL,TOR,13,8,5,0,24,30,62,,,,,,,
1945,NHL,BOS,10,5,5,0,29,29,47,,,,,,,
1945,NHL,CHI,4,0,4,0,7,26,68,,,,,,,
1945,NHL,DET,5,1,4,0,10,16,22,,,,,,,
1945,NHL,MTL,9,8,1,0,45,20,91,,,,,,,
1946,NHL,BOS,5,1,4,0,10,16,58,,,,,,,
1946,NHL,DET,5,1,4,0,14,18,72,,,,,,,
1946,NHL,MTL,11,6,5,0,29,23,171,,,,,,,
1946,NHL,TOR,11,8,3,0,31,27,144,,,,,,,
1947,NHL,BOS,5,1,4,0,13,20,39,,,,,,,
1947,NHL,DET,10,4,6,0,24,30,116,,,,,,,
1947,NHL,NYR,6,2,4,0,12,17,43,,,,,,,
1947,NHL,TOR,9,8,1,0,38,20,102,,,,,,,
1948,NHL,BOS,5,1,4,0,10,16,50,,,,,,,
1948,NHL,DET,11,4,7,0,22,26,164,,,,,,,
1948,NHL,MTL,7,3,4,0,14,17,103,,,,,,,
1948,NHL,TOR,9,8,1,0,28,15,94,,,,,,,
1949,NHL,DET,14,8,6,0,32,28,148,,,,,,,
1949,NHL,MTL,5,1,4,0,7,15,77,,,,,,,
1949,NHL,NYR,12,7,5,0,32,29,105,,,,,,,
1949,NHL,TOR,7,3,4,0,11,10,117,,,,,,,
1950,NHL,BOS,6,1,4,1,5,17,72,,,,,,,
1950,NHL,DET,6,2,4,0,12,13,26,,,,,,,
1950,NHL,MTL,11,5,6,0,23,25,86,,,,,,,
1950,NHL,TOR,11,8,2,1,30,15,145,,,,,,,
1951,NHL,BOS,7,3,4,0,12,18,51,,,,,,,
1951,NHL,DET,8,8,0,0,24,5,118,,,,,,,
1951,NHL,MTL,11,4,7,0,20,23,97,,,,,,,
1951,NHL,TOR,4,0,4,0,3,13,90,,,,,,,
1952,NHL,BOS,11,5,6,0,30,37,109,,,,,,,
1952,NHL,CHI,7,3,4,0,14,18,59,,,,,,,
1952,NHL,DET,6,2,4,0,21,21,50,,,,,,,
1952,NHL,MTL,12,8,4,0,34,23,118,,,,,,,
1953,NHL,BOS,4,0,4,0,4,16,54,,,,,,,
1953,NHL,DET,12,8,4,0,29,20,120,,,,,,,
1953,NHL,MTL,11,7,4,0,28,18,160,,,,,,,
1953,NHL,TOR,5,1,4,0,8,15,57,,,,,,,
1954,NHL,BOS,5,1,4,0,9,16,55,,,,,,,
1954,NHL,DET,11,8,3,0,41,26,143,,,,,,,
1954,NHL,MTL,12,7,5,0,36,36,174,,,,,,,
1954,NHL,TOR,4,0,4,0,6,14,60,,,,,,,
1955,NHL,DET,10,5,5,0,23,28,117,,,,,,,
1955,NHL,MTL,10,8,2,0,42,18,159,,,,,,,
1955,NHL,NYR,5,1,4,0,9,24,62,,,,,,,
1955,NHL,TOR,5,1,4,0,10,14,65,,,,,,,
1956,NHL,BOS,10,5,5,0,21,29,127,,,,,,,
1956,NHL,DET,5,1,4,0,14,15,66,,,,,,,
1956,NHL,MTL,10,8,2,0,37,18,122,,,,,,,
1956,NHL,NYR,5,1,4,0,12,22,48,,,,,,,
1957,NHL,BOS,12,6,6,0,42,32,147,,,,,,,
1957,NHL,DET,4,0,4,0,6,19,68,,,,,,,
1957,NHL,MTL,10,8,2,0,35,20,121,,,,,,,
1957,NHL,NYR,6,2,4,0,16,28,85,,,,,,,
1958,NHL,BOS,7,3,4,0,21,20,113,,,,,,,
1958,NHL,CHI,6,2,4,0,16,21,93,,,,,,,
1958,NHL,MTL,11,8,3,0,39,28,133,,,,,,,
1958,NHL,TOR,12,5,7,0,32,39,173,,,,,,,
1959,NHL,CHI,4,0,4,0,6,14,30,,,,,,,
1959,NHL,DET,6,2,4,0,16,20,45,,,,,,,
1959,NHL,MTL,8,8,0,0,29,11,79,,,,,,,
1959,NHL,TOR,10,4,6,0,25,31,104,,,,,,,
1960,NHL,CHI,12,8,4,0,35,27,162,,,,,,,
1960,NHL,DET,11,6,5,0,27,27,108,,,,,,,
1960,NHL,MTL,6,2,4,0,15,16,120,,,,,,,
1960,NHL,TOR,5,1,4,0,8,15,46,,,,,,,
1961,NHL,CHI,12,6,6,0,34,31,191,,,,,,,
1961,NHL,MTL,6,2,4,0,13,19,83,,,,,,,
1961,NHL,NYR,6,2,4,0,15,22,46,,,,,,,
1961,NHL,TOR,12,8,4,0,40,30,178,,,,,,,
1962,NHL,CHI,6,2,4,0,19,25,104,,,,,,,
1962,NHL,DET,11,5,6,0,35,36,170,,,,,,,
1962,NHL,MTL,5,1,4,0,6,14,48,,,,,,,
1962,NHL,TOR,10,8,2,0,31,16,93,,,,,,,
1963,NHL,CHI,7,3,4,0,18,24,129,,,,,,,
1963,NHL,DET,14,7,7,0,41,40,211,,,,,,,
1963,NHL,MTL,7,3,4,0,14,17,168,,,,,,,
1963,NHL,TOR,14,8,6,0,39,31,262,,,,,,,
1964,NHL,CHI,14,7,7,0,35,37,258,,,,,,,
1964,NHL,DET,7,3,4,0,19,23,124,,,,,,,
1964,NHL,MTL,13,8,5,0,35,26,329,,,,,,,
1964,NHL,TOR,6,2,4,0,14,17,136,,,,,,,
1965,NHL,CHI,6,2,4,0,10,22,75,,,,,,,
1965,NHL,DET,12,6,6,0,36,28,154,,,,,,,
1965,NHL,MTL,10,8,2,0,33,20,187,,,,,,,
1965,NHL,TOR,4,0,4,0,6,15,151,,,,,,,
1966,NHL,CHI,6,2,4,0,14,18,81,,,,,,,
1966,NHL,MTL,10,6,4,0,30,25,142,,,,,,,
1966,NHL,NYR,4,0,4,0,8,14,58,,,,,,,
1966,NHL,TOR,12,8,4,0,35,30,150,,,,,,,
1967,NHL,BOS,4,0,4,0,8,15,56,,1,,0,3,,0
1967,NHL,CHI,11,5,6,0,28,34,96,,5,,1,8,,1
1967,NHL,LAK,7,3,4,0,21,26,114,,5,,1,4,,0
1967,NHL,MNS,14,7,7,0,48,39,104,,9,,1,8,,1
1967,NHL,MTL,13,12,1,0,48,25,150,,10,,2,6,,3
1967,NHL,NYR,6,2,4,0,12,18,68,,2,,0,3,,0
1967,NHL,PHI,7,3,4,0,17,17,142,,6,,3,4,,1
1967,NHL,STL,18,8,10,0,42,50,323,,10,,3,12,,5
1968,NHL,BOS,10,6,4,0,40,20,226,,11,,1,7,,5
1968,NHL,LAK,11,4,7,0,28,41,162,,6,,1,7,,1
1968,NHL,MTL,14,12,2,0,43,26,247,,14,,3,5,,1
1968,NHL,NYR,4,0,4,0,7,16,38,,1,,0,5,,0
1968,NHL,OAK,7,3,4,0,25,23,99,,4,,0,4,,1
1968,NHL,PHI,4,0,4,0,3,17,83,,1,,0,3,,1
1968,NHL,STL,12,8,4,0,36,20,258,,7,,3,6,,0
1968,NHL,TOR,4,0,4,0,5,24,119,,1,,2,8,,1
1969,NHL,BOS,14,12,2,0,65,33,330,,14,,0,14,,5
1969,NHL,CHI,8,4,4,0,26,28,87,,8,,2,8,,0
1969,NHL,DET,4,0,4,0,8,16,44,,3,,0,5,,1
1969,NHL,MNS,6,2,4,0,16,20,82,,7,,1,10,,0
1969,NHL,NYR,6,2,4,0,16,25,169,,7,,2,6,,0
1969,NHL,OAK,4,0,4,0,6,13,50,,4,,0,2,,1
1969,NHL,PIT,10,6,4,0,23,25,211,,4,,2,9,,0
1969,NHL,STL,16,8,8,0,46,46,301,,19,,2,12,,2
1970,NHL,BOS,7,3,4,0,26,28,190,,6,,0,5,,2
1970,NHL,CHI,18,11,7,0,59,42,289,,17,,1,11,,1
1970,NHL,MNS,12,6,6,0,35,42,195,,11,,1,9,,0
1970,NHL,MTL,20,12,8,0,75,63,379,,16,,2,17,,1
1970,NHL,NYR,13,7,6,0,30,36,250,,5,,0,7,,1
1970,NHL,PHI,4,0,4,0,8,20,57,,4,,1,7,,0
1970,NHL,STL,6,2,4,0,15,16,120,,4,,0,6,,1
1970,NHL,TOR,6,2,4,0,15,16,147,,3,,1,4,,0
1971,NHL,BOS,15,12,3,0,64,34,389,,18,,1,11,,5
1971,NHL,CHI,8,4,4,0,23,25,129,,3,,2,4,,2
1971,NHL,MNS,7,3,4,0,19,19,111,,4,,0,6,,0
1971,NHL,MTL,6,2,4,0,14,19,76,,1,,0,3,,0
1971,NHL,NYR,16,10,6,0,52,41,275,,12,,4,10,,1
1971,NHL,PIT,4,0,4,0,8,14,71,,1,,1,0,,1
1971,NHL,STL,11,4,7,0,27,47,232,,8,,1,14,,0
1971,NHL,TOR,5,1,4,0,10,18,92,,3,,1,2,,1
1972,NHL,BOS,5,1,4,0,11,22,66,,1,,0,4,,1
1972,NHL,BUF,6,2,4,0,16,21,59,,4,,0,4,,0
1972,NHL,CHI,16,10,6,0,60,53,155,,14,,1,9,,3
1972,NHL,MNS,6,2,4,0,12,14,112,,3,,1,4,,0
1972,NHL,MTL,17,12,5,0,73,52,179,,15,,2,12,,1
1972,NHL,NYR,10,5,5,0,33,26,98,,5,,1,5,,0
1972,NHL,PHI,11,5,6,0,27,31,205,,6,,0,8,,1
1972,NHL,STL,5,1,4,0,9,22,51,,2,,1,4,,0
1972,WHA,CLC,9,5,4,0,33,22,,,9,39,0,8,55,1
1972,WHA,HOU,10,4,6,0,26,30,,,9,27,1,5,45,1
1972,WHA,LAS,6,2,4,0,16,23,,,4,25,0,9,20,1
1972,WHA,MFS,5,1,4,0,16,23,,,4,11,0,7,13,0
1972,WHA,NEW,15,12,3,0,70,49,,,14,75,0,13,64,1
1972,WHA,OTN,5,1,4,0,17,24,,,5,27,0,8,30,0
1972,WHA,PHB,4,0,4,0,6,19,,,4,25,1,4,17,0
1972,WHA,WIJ,14,9,5,0,55,49,,,11,48,2,6,33,0
1973,NHL,ATF,4,0,4,0,6,17,123,,2,,1,5,,0
1973,NHL,BOS,16,10,6,0,58,44,349,,12,,0,12,,2
1973,NHL,CHI,11,6,5,0,30,35,196,,9,,0,9,,0
1973,NHL,LAK,5,1,4,0,7,10,109,,2,,0,1,,0
1973,NHL,MTL,6,2,4,0,17,21,91,,2,,0,3,,0
1973,NHL,NYR,13,7,6,0,38,39,245,,7,,1,8,,0
1973,NHL,PHI,17,12,5,0,54,36,578,,14,,1,9,,2
1973,NHL,TOR,4,0,4,0,9,17,45,,1,,1,2,,0
1973,WHA,CHC,18,8,10,0,67,72,,,,,,,,
1973,WHA,CLC,5,1,4,0,9,18,,,,,,,,
1973,WHA,EDO,5,1,4,0,14,22,,,,,,,,
1973,WHA,HOU,14,12,2,0,71,35,,,,,,,,
1973,WHA,MFS,11,6,5,0,39,40,,,,,,,,
1973,WHA,NEW,7,3,4,0,23,24,,,,,,,,
1973,WHA,TOT,12,7,5,0,45,43,,,,,,,,
1973,WHA,WIJ,4,0,4,0,9,23,,,,,,,,
1974,NHL,BOS,3,1,2,0,15,12,47,0,2,14,0,4,14,1
1974,NHL,BUF,17,10,7,0,53,58,276,6,13,75,1,15,72,2
1974,NHL,CHI,8,3,5,0,22,35,142,0,5,36,1,9,35,0
1974,NHL,LAK,3,1,2,0,6,7,82,0,2,9,0,0,9,0
1974,NHL,MTL,11,6,5,0,49,30,154,0,13,46,2,5,41,1
1974,NHL,NYI,17,9,8,0,47,50,377,0,15,77,3,9,72,2
1974,NHL,NYR,3,1,2,0,13,10,113,2,3,20,1,3,16,1
1974,NHL,PHI,17,12,5,0,53,34,335,0,11,65,0,14,89,1
1974,NHL,PIT,9,5,4,0,27,27,126,0,5,32,1,7,36,2
1974,NHL,STL,2,0,2,0,6,9,56,2,2,6,1,3,10,0
1974,NHL,TOR,7,2,5,0,13,21,108,0,4,36,0,5,20,0
1974,NHL,VAN,5,1,4,0,9,20,77,2,2,18,0,3,20,0
1974,WHA,CLC,5,1,4,0,14,24,,,,,,,,
1974,WHA,HOU,13,12,1,0,61,26,,,,,,,,
1974,WHA,MFS,12,6,6,0,44,42,,,,,,,,
1974,WHA,NEW,6,2,4,0,17,28,,,,,,,,
1974,WHA,PHR,5,1,4,0,12,23,,,,,,,,
1974,WHA,QUN,15,8,7,0,55,48,,,,,,,,
1974,WHA,SDM,10,4,6,0,34,44,,,,,,,,
1974,WHA,TOT,6,2,4,0,27,29,,,,,,,,
1975,NHL,ATF,2,0,2,0,1,3,21,0,0,8,0,0,6,0
1975,NHL,BOS,12,5,7,0,38,33,209,0,14,54,0,6,52,2
1975,NHL,BUF,9,4,5,0,25,29,162,0,2,42,1,7,41,1
1975,NHL,CHI,4,0,4,0,3,13,67,2,2,16,1,3,17,0
1975,NHL,LAK,9,5,4,0,17,27,151,2,5,41,2,11,43,0
1975,NHL,MTL,13,12,1,0,44,26,187,0,11,53,0,9,46,3
1975,NHL,NYI,13,7,6,0,43,39,247,0,9,49,2,7,60,1
1975,NHL,PHI,16,8,8,0,61,49,444,4,13,56,2,20,86,1
1975,NHL,PIT,3,1,2,0,3,8,25,0,1,13,0,2,9,0
1975,NHL,STL,3,1,2,0,8,7,54,0,2,14,1,0,13,1
1975,NHL,TOR,10,5,5,0,31,36,266,0,14,59,1,9,38,1
1975,NHL,VAN,2,0,2,0,4,8,19,0,2,12,1,1,6,1
1975,WHA,CAC,10,5,5,0,36,37,,,,,,,,
1975,WHA,CLC,3,0,3,0,6,14,,,,,,,,
1975,WHA,EDO,4,0,4,0,11,22,,,,,,,,
