year,lgID,tmID,G,W,L,T,GF,GA,PIM,BenchMinor,PPG,PPC,SHA,PKG,PKC,SHF
1993,NHL,DAL,9,5,4,0,27,28,149,4,10,49,1,7,41,0
1993,NHL,DET,7,3,4,0,27,21,98,2,5,35,1,6,36,2
1993,NHL,MTL,7,3,4,0,20,22,106,0,6,28,1,7,31,0
1993,NHL,NJD,20,11,9,0,52,49,421,4,14,81,1,11,85,1
1993,NHL,NYI,4,0,4,0,3,22,83,0,1,17,0,8,27,0
1993,NHL,NYR,23,16,7,0,81,50,379,2,22,104,3,9,103,2
1993,NHL,PIT,6,2,4,0,12,20,140,2,2,27,2,3,30,0
1993,NHL,SJS,14,7,7,0,42,53,224,6,9,74,5,13,61,2
1993,NHL,STL,4,0,4,0,10,16,81,0,3,20,0,6,23,1
1993,NHL,TOR,18,9,9,0,50,47,375,0,22,74,1,13,86,4
1993,NHL,VAN,24,15,9,0,76,61,436,0,19,116,2,20,114,2
1993,NHL,WAS,11,5,6,0,32,32,256,0,5,55,0,6,52,3
1994,NHL,BOS,5,1,4,0,5,14,47,2,2,20,1,5,17,0
1994,NHL,BUF,5,1,4,0,13,18,80,0,3,26,1,3,26,1
1994,NHL,CAL,7,3,4,0,35,26,111,0,7,31,0,6,31,6
1994,NHL,CHI,16,9,7,0,45,39,203,0,9,68,1,11,75,1
1994,NHL,DAL,5,1,4,0,10,17,95,0,3,26,0,9,30,1
1994,NHL,DET,18,12,6,0,61,44,264,0,22,89,1,14,78,3
1994,NHL,NJD,20,16,4,0,67,34,227,2,18,72,2,10,74,1
1994,NHL,NYR,10,4,6,0,35,37,138,2,13,46,3,5,50,1
1994,NHL,PHI,15,10,5,0,50,43,186,2,9,70,1,15,66,3
1994,NHL,PIT,12,5,7,0,37,43,236,4,11,58,1,10,61,1
1994,NHL,QUE,6,2,4,0,19,25,89,2,2,25,1,7,29,2
1994,NHL,SJS,11,4,7,0,32,59,135,2,9,48,8,13,46,0
1994,NHL,STL,7,3,4,0,27,27,210,2,6,45,6,11,43,1
1994,NHL,TOR,7,3,4,0,20,22,89,0,7,36,1,2,27,0
1994,NHL,VAN,11,4,7,0,33,38,272,6,12,57,1,8,66,7
1994,NHL,WAS,7,3,4,0,26,29,213,4,6,44,1,10,42,1
1995,NHL,BOS,5,1,4,0,16,22,147,0,7,27,0,5,30,2
1995,NHL,CAL,4,0,4,0,7,16,56,0,0,21,0,4,21,0
1995,NHL,CHI,10,6,4,0,30,28,180,2,7,46,0,5,53,0
1995,NHL,COL,22,16,6,0,80,51,374,0,24,110,2,17,113,1
1995,NHL,DET,19,10,9,0,58,46,302,4,20,112,1,13,89,5
1995,NHL,FLO,22,12,10,0,61,57,401,6,14,109,2,20,103,1
1995,NHL,MTL,6,2,4,0,17,19,72,2,3,31,1,8,31,2
1995,NHL,NYR,11,5,6,0,34,38,136,2,12,55,3,8,57,1
1995,NHL,PHI,12,6,6,0,37,28,290,0,15,71,3,7,63,0
1995,NHL,PIT,18,11,7,0,57,52,351,2,16,100,0,14,96,2
1995,NHL,STL,13,7,6,0,37,37,214,2,11,69,2,15,75,4
1995,NHL,TBL,6,2,4,0,13,26,190,0,3,35,0,10,43,2
1995,NHL,TOR,6,2,4,0,15,21,112,0,8,32,4,5,34,1
1995,NHL,VAN,6,2,4,0,17,24,99,0,7,39,0,8,36,0
1995,NHL,WAS,6,2,4,0,17,21,194,2,7,38,1,7,42,0
1995,NHL,WIN,6,2,4,0,10,20,119,2,0,28,2,8,37,0
1996,NHL,ANA,11,4,7,0,25,30,163,2,10,39,0,6,45,0
1996,NHL,BUF,12,5,7,0,27,34,226,6,8,53,0,11,60,2
1996,NHL,CHI,6,2,4,0,14,28,160,0,1,27,0,12,45,2
1996,NHL,COL,17,10,7,0,59,41,380,6,21,95,4,7,86,0
1996,NHL,DAL,7,3,4,0,18,21,136,0,3,40,1,6,34,1
1996,NHL,DET,20,16,4,0,58,38,437,6,17,117,0,15,96,2
1996,NHL,EDM,12,5,7,0,32,37,204,0,8,55,1,10,61,3
1996,NHL,FLO,5,1,4,0,10,13,50,0,6,25,0,2,21,0
1996,NHL,MTL,5,1,4,0,11,22,105,0,0,16,3,9,28,2
1996,NHL,NJD,10,5,5,0,27,21,186,0,11,50,2,3,37,3
1996,NHL,NYR,15,9,6,0,36,35,218,2,10,64,1,14,68,1
1996,NHL,OTT,7,3,4,0,13,14,91,2,7,35,1,2,27,0
1996,NHL,PHI,19,12,7,0,67,55,245,4,18,94,5,19,89,3
1996,NHL,PHO,7,3,4,0,17,17,111,2,3,26,0,6,28,0
1996,NHL,PIT,5,1,4,0,13,20,68,0,4,23,2,4,29,2
1996,NHL,STL,6,2,4,0,12,13,198,0,5,37,1,6,42,0
1997,NHL,BOS,6,2,4,0,13,15,75,0,6,40,0,3,20,0
1997,NHL,BUF,15,10,5,0,46,32,268,2,16,89,1,9,90,2
1997,NHL,COL,7,3,4,0,16,19,209,0,5,35,0,7,46,1
1997,NHL,DAL,17,10,7,0,36,32,300,4,10,100,2,11,93,1
1997,NHL,DET,22,16,6,0,75,49,334,6,20,129,3,14,119,6
1997,NHL,EDM,12,5,7,0,24,25,245,4,8,72,1,7,67,0
1997,NHL,LAK,4,0,4,0,8,16,108,0,1,29,0,8,36,0
1997,NHL,MTL,10,4,6,0,28,32,148,0,6,50,3,9,58,0
1997,NHL,NJD,6,2,4,0,12,13,92,0,3,23,0,4,25,2
1997,NHL,OTT,11,5,6,0,20,30,135,2,8,51,4,7,39,1
1997,NHL,PHI,5,1,4,0,9,18,90,4,3,36,2,9,31,0
1997,NHL,PHO,6,2,4,0,18,24,127,0,6,33,0,7,42,2
1997,NHL,PIT,6,2,4,0,15,18,70,0,4,33,0,5,27,3
1997,NHL,SJS,6,2,4,0,12,16,152,0,6,36,1,7,38,0
1997,NHL,STL,10,6,4,0,29,31,185,4,13,75,3,7,69,1
1997,NHL,WAS,21,12,9,0,53,44,319,6,14,84,2,15,115,3
1998,NHL,ANA,4,0,4,0,6,17,80,0,4,20,0,7,23,0
1998,NHL,BOS,12,6,6,0,30,27,126,2,9,59,1,8,47,0
1998,NHL,BUF,21,14,7,0,59,49,349,4,19,95,0,17,118,4
1998,NHL,CAR,6,2,4,0,10,16,62,0,2,21,0,4,24,0
1998,NHL,COL,19,11,8,0,56,54,309,0,14,96,3,19,106,2
1998,NHL,DAL,23,16,7,0,64,44,279,2,13,107,0,9,95,3
1998,NHL,DET,10,6,4,0,31,27,137,0,14,59,1,9,50,0
1998,NHL,EDM,4,0,4,0,7,11,85,0,2,17,0,2,22,0
1998,NHL,NJD,7,3,4,0,18,21,86,2,5,27,0,4,26,1
1998,NHL,OTT,4,0,4,0,6,12,46,0,3,27,0,4,18,0
1998,NHL,PHI,6,2,4,0,11,9,82,0,3,27,0,5,34,0
1998,NHL,PHO,7,3,4,0,16,19,95,0,5,41,0,9,33,0
1998,NHL,PIT,13,6,7,0,35,36,183,2,8,45,1,6,50,0
1998,NHL,SJS,6,2,4,0,17,19,102,0,7,41,1,7,42,2
1998,NHL,STL,13,6,7,0,31,33,179,2,11,61,2,8,71,0
1998,NHL,TOR,17,9,8,0,43,46,252,0,12,87,3,13,71,0
1999,NHL,BUF,5,1,4,0,8,14,70,4,3,18,1,9,28,0
1999,NHL,COL,17,11,6,0,43,32,178,2,15,86,1,12,68,1
1999,NHL,DAL,23,14,9,0,52,46,291,4,15,93,5,12,102,2
1999,NHL,DET,9,5,4,0,23,19,132,0,10,43,0,5,49,1
1999,NHL,EDM,5,1,4,0,11,14,84,0,3,25,0,2,26,1
1999,NHL,FLO,4,0,4,0,6,12,54,0,1,14,1,2,16,0
1999,NHL,LAK,4,0,4,0,6,15,54,2,0,23,0,7,23,0
1999,NHL,NJD,23,16,7,0,61,39,192,6,12,70,1,5,67,4
1999,NHL,OTT,6,2,4,0,10,17,81,0,2,22,0,2,23,0
1999,NHL,PHI,18,11,7,0,44,40,257,2,15,69,0,8,58,1
1999,NHL,PHO,5,1,4,0,10,17,75,0,3,19,0,7,27,0
1999,NHL,PIT,11,6,5,0,31,23,173,4,8,56,1,7,45,0
1999,NHL,SJS,12,5,7,0,27,37,164,2,10,63,2,13,61,2
1999,NHL,STL,7,3,4,0,22,20,114,0,8,39,1,6,35,0
1999,NHL,TOR,12,6,6,0,26,26,154,0,2,43,1,7,47,1
1999,NHL,WAS,5,1,4,0,8,17,83,0,3,21,0,6,29,1
2000,NHL,BUF,13,7,6,0,38,30,138,2,10,51,1,8,44,2
2000,NHL,CAR,6,2,4,0,8,20,115,0,3,29,1,2,24,0
2000,NHL,COL,23,16,7,0,69,41,256,6,23,116,2,13,92,0
2000,NHL,DAL,10,4,6,0,22,26,116,2,5,43,1,6,47,0
2000,NHL,DET,6,2,4,0,17,15,57,0,9,27,0,3,20,0
2000,NHL,EDM,6,2,4,0,13,16,83,0,5,31,0,4,26,0
2000,NHL,LAK,13,7,6,0,25,34,146,4,6,50,0,14,63,0
2000,NHL,NJD,25,15,10,0,69,52,334,2,16,101,2,17,104,3
2000,NHL,OTT,4,0,4,0,3,10,48,0,0,16,0,3,13,0
2000,NHL,PHI,6,2,4,0,13,21,74,0,4,17,0,6,18,1
2000,NHL,PIT,18,9,9,0,38,44,214,2,11,61,3,16,73,1
2000,NHL,SJS,6,2,4,0,11,16,88,0,0,22,1,5,27,1
2000,NHL,STL,15,9,6,0,40,34,183,0,9,62,1,8,64,3
2000,NHL,TOR,11,7,4,0,28,24,146,2,9,39,0,6,48,1
2000,NHL,VAN,4,0,4,0,9,16,50,0,4,16,0,5,19,0
2000,NHL,WAS,6,2,4,0,10,14,91,0,7,22,0,5,21,0
2001,NHL,BOS,6,2,4,0,18,20,106,0,5,20,0,6,27,2
2001,NHL,CAR,23,13,10,0,47,43,263,4,16,103,2,15,96,1
2001,NHL,CHI,5,1,4,0,5,13,73,2,1,17,1,5,20,0
2001,NHL,COL,21,11,10,0,54,56,168,6,10,77,2,9,62,0
2001,NHL,DET,23,16,7,0,72,47,308,8,19,99,2,14,104,7
2001,NHL,LAK,7,3,4,0,13,16,72,2,1,17,0,2,26,0
2001,NHL,MTL,12,6,6,0,32,39,172,2,9,48,2,11,48,0
2001,NHL,NJD,6,2,4,0,11,9,52,2,6,28,0,4,21,1
2001,NHL,NYI,7,3,4,0,21,22,169,2,11,38,0,5,43,0
2001,NHL,OTT,12,7,5,0,29,18,115,0,9,55,0,6,41,0
2001,NHL,PHI,5,1,4,0,2,11,75,2,1,16,0,4,24,0
2001,NHL,PHO,5,1,4,0,7,13,83,0,1,25,0,2,27,0
2001,NHL,SJS,12,7,5,0,34,32,124,0,5,48,0,5,48,0
2001,NHL,STL,10,5,5,0,24,19,150,0,9,45,1,5,42,2
2001,NHL,TOR,20,10,10,0,44,49,389,4,13,90,0,20,99,0
2001,NHL,VAN,6,2,4,0,16,22,62,0,4,27,3,7,25,0
2002,NHL,ANA,21,15,6,0,45,40,166,8,8,70,1,9,70,3
2002,NHL,BOS,5,1,4,0,8,13,70,0,3,18,0,3,22,0
2002,NHL,COL,7,3,4,0,17,16,68,2,4,26,1,7,29,0
2002,NHL,DAL,12,6,6,0,34,25,176,8,10,58,2,5,50,1
2002,NHL,DET,4,0,4,0,6,10,36,2,2,14,0,0,14,0
2002,NHL,EDM,6,2,4,0,11,20,131,2,1,23,0,7,39,1
2002,NHL,MIN,18,8,10,0,43,43,193,2,16,73,3,12,63,2
2002,NHL,NJD,24,16,8,0,63,41,214,2,13,84,2,8,74,1
2002,NHL,NYI,5,1,4,0,7,13,108,0,3,31,0,4,30,0
2002,NHL,OTT,18,11,7,0,43,34,214,2,12,83,1,6,73,3
2002,NHL,PHI,13,6,7,0,34,33,152,4,5,50,4,9,50,1
2002,NHL,STL,7,3,4,0,21,17,137,4,10,48,1,7,47,0
2002,NHL,TBL,11,5,6,0,22,29,134,4,5,37,0,9,43,2
2002,NHL,TOR,7,3,4,0,16,24,89,2,3,25,1,5,33,2
2002,NHL,VAN,14,7,7,0,34,47,239,2,13,73,1,18,76,2
2002,NHL,WAS,6,2,4,0,15,14,88,4,5,27,1,4,27,0
2003,NHL,BOS,7,3,4,0,14,19,72,2,2,25,0,3,30,0
2003,NHL,CAL,26,15,11,0,60,53,444,0,15,108,0,21,121,3
2003,NHL,COL,11,6,5,0,26,24,154,4,9,48,0,9,47,2
2003,NHL,DAL,5,1,4,0,10,19,56,4,4,22,2,6,21,0
2003,NHL,DET,12,6,6,0,24,20,135,0,5,52,1,2,50,1
2003,NHL,MTL,11,4,7,0,24,28,148,0,5,40,1,5,42,0
2003,NHL,NAS,6,2,4,0,9,12,76,0,1,29,1,2,29,1
2003,NHL,NJD,5,1,4,0,9,14,28,0,3,18,0,4,12,0
2003,NHL,NYI,5,1,4,0,5,12,50,4,2,16,1,2,23,0
2003,NHL,OTT,7,3,4,0,11,14,99,0,3,35,0,4,32,0
2003,NHL,PHI,18,11,7,0,50,43,272,8,8,61,0,14,71,3
2003,NHL,SJS,17,10,7,0,38,32,216,0,11,81,3,6,72,1
2003,NHL,STL,5,1,4,0,9,12,68,0,1,22,1,3,31,2
2003,NHL,TBL,23,16,7,0,60,43,387,4,21,100,3,11,76,2
2003,NHL,TOR,13,6,7,0,27,28,201,0,6,59,1,6,58,0
2003,NHL,VAN,7,3,4,0,16,19,99,2,8,39,1,6,40,0
2005,NHL,ANA,16,9,7,0,46,36,267,4,11,102,4,11,96,1
2005,NHL,BUF,18,11,7,0,60,49,220,0,16,99,2,16,92,5
2005,NHL,CAL,7,3,4,0,16,17,129,4,6,43,1,6,44,2
2005,NHL,CAR,25,16,9,0,73,60,319,8,31,129,2,20,137,2
2005,NHL,COL,9,4,5,0,22,31,166,2,5,52,1,7,50,2
2005,NHL,DAL,5,1,4,0,15,18,64,0,5,31,1,5,28,1
2005,NHL,DET,6,2,4,0,17,19,84,0,8,40,0,8,37,0
2005,NHL,EDM,24,15,9,0,70,61,385,10,24,141,1,22,158,3
2005,NHL,MTL,6,2,4,0,17,15,68,0,6,27,0,6,30,0
2005,NHL,NAS,5,1,4,0,10,17,88,0,6,32,0,9,37,1
2005,NHL,NJD,9,5,4,0,27,21,140,2,11,58,0,11,45,4
2005,NHL,NYR,4,0,4,0,4,17,71,2,2,21,3,8,27,0
2005,NHL,OTT,10,5,5,0,36,29,164,2,14,56,3,7,55,1
2005,NHL,PHI,6,2,4,0,14,27,129,4,3,29,2,7,41,1
2005,NHL,SJS,11,6,5,0,29,29,144,2,11,72,2,12,62,0
2005,NHL,TBL,5,1,4,0,13,23,125,2,4,31,1,8,24,0
2006,NHL,AND,21,16,5,0,58,45,371,6,16,105,3,16,121,2
2006,NHL,ATL,4,0,4,0,6,17,115,2,1,17,0,5,24,0
2006,NHL,BUF,16,9,7,0,44,39,162,0,11,88,1,14,75,0
2006,NHL,CAL,6,2,4,0,10,18,117,0,6,34,2,5,38,1
2006,NHL,DAL,7,3,4,0,12,13,104,4,4,40,0,3,38,0
2006,NHL,DET,18,10,8,0,48,35,244,10,19,103,2,12,91,4
2006,NHL,MIN,5,1,4,0,9,12,79,0,2,27,1,5,19,1
2006,NHL,NAS,5,1,4,0,14,16,148,0,3,22,0,2,30,1
2006,NHL,NJD,11,5,6,0,30,29,126,4,10,50,2,8,46,0
2006,NHL,NYI,5,1,4,0,11,17,54,2,2,19,0,4,24,0
2006,NHL,NYR,10,6,4,0,30,23,151,0,13,54,0,6,52,0
2006,NHL,OTT,20,13,7,0,59,47,246,6,18,95,0,12,99,3
2006,NHL,PIT,5,1,4,0,10,18,78,0,4,28,0,6,24,0
2006,NHL,SJS,11,6,5,0,25,27,165,4,4,57,2,8,47,0
2006,NHL,TBL,6,2,4,0,14,19,110,2,4,26,0,7,28,1
2006,NHL,VAN,12,5,7,0,21,26,190,4,4,67,0,8,76,0
2007,NHL,AND,6,2,4,0,13,20,118,2,5,24,0,10,38,0
2007,NHL,BOS,7,3,4,0,15,19,87,0,3,30,0,3,33,1
2007,NHL,CAL,7,3,4,0,17,19,70,2,6,22,0,6,31,0
2007,NHL,COL,10,4,6,0,26,33,134,2,10,48,4,10,44,1
2007,NHL,DAL,18,10,8,0,45,41,218,0,18,90,4,13,76,0
2007,NHL,DET,22,16,6,0,72,41,243,4,20,106,0,14,98,6
2007,NHL,MIN,6,2,4,0,12,17,141,2,3,21,1,6,30,2
2007,NHL,MTL,12,5,7,0,33,35,133,2,8,55,2,7,44,1
2007,NHL,NAS,6,2,4,0,12,17,68,2,2,23,1,3,26,0
2007,NHL,NJD,5,1,4,0,12,19,56,0,5,24,1,4,17,0
2007,NHL,NYR,10,5,5,0,31,27,150,4,7,42,0,10,48,1
2007,NHL,OTT,4,0,4,0,5,16,85,0,1,13,0,6,23,0
2007,NHL,PHI,17,9,8,0,52,54,232,4,15,67,2,18,75,2
2007,NHL,PIT,20,14,6,0,61,43,323,2,21,92,2,11,85,1
2007,NHL,SJS,13,6,7,0,30,32,100,0,8,56,0,11,44,2
2007,NHL,WAS,7,3,4,0,20,23,87,6,8,35,0,8,36,0
2008,NHL,AND,13,7,6,0,35,32,220,6,13,50,0,11,55,0
2008,NHL,BOS,11,7,4,0,34,22,147,0,6,43,1,3,27,0
2008,NHL,CAL,6,2,4,0,16,21,83,4,2,18,0,7,24,0
2008,NHL,CAR,18,8,10,0,42,52,231,4,6,60,0,8,71,1
2008,NHL,CBS,4,0,4,0,7,18,60,2,3,13,0,7,22,0
2008,NHL,CHI,17,9,8,0,54,54,297,6,19,68,1,14,65,1
2008,NHL,DET,23,15,8,0,76,48,226,2,23,97,1,19,71,1
2008,NHL,MTL,4,0,4,0,6,17,103,2,0,8,0,4,16,0
2008,NHL,NJD,7,3,4,0,15,17,91,0,3,27,0,2,29,0
2008,NHL,NYR,7,3,4,0,11,19,120,2,4,31,1,6,33,0
2008,NHL,PHI,6,2,4,0,16,18,116,0,4,30,0,4,32,1
2008,NHL,PIT,24,16,8,0,79,64,283,4,20,97,2,14,84,1
2008,NHL,SJS,6,2,4,0,10,18,85,0,4,24,0,5,23,0
2008,NHL,STL,4,0,4,0,5,11,63,2,1,24,0,4,18,0
2008,NHL,VAN,10,6,4,0,30,28,191,0,11,44,1,9,51,0
2008,NHL,WAS,14,7,7,0,41,38,162,0,11,52,0,13,65,2
2009,NHL,BOS,13,7,6,0,36,37,175,4,11,45,0,5,50,0
2009,NHL,BUF,6,2,4,0,15,16,114,2,0,19,0,6,22,0
2009,NHL,CHI,22,16,6,0,78,62,223,8,18,80,2,15,90,4
2009,NHL,COL,6,2,4,0,11,19,67,4,2,15,0,5,26,0
2009,NHL,DET,12,5,7,0,43,33,178,4,12,57,1,12,64,0
2009,NHL,LAK,6,2,4,0,18,25,70,2,10,26,0,6,24,0
2009,NHL,MTL,19,9,10,0,46,57,216,10,12,73,3,13,84,1
2009,NHL,NAS,6,2,4,0,15,17,52,4,1,27,1,4,23,1
2009,NHL,NJD,5,1,4,0,9,15,92,4,4,32,0,8,29,1
2009,NHL,OTT,6,2,4,0,19,24,123,6,7,22,1,7,28,0
2009,NHL,PHI,23,14,9,0,76,61,253,10,23,105,2,14,95,1
2009,NHL,PHO,7,3,4,0,18,26,81,0,6,33,0,8,34,1
2009,NHL,PIT,13,7,6,0,42,38,136,4,15,57,1,12,43,1
2009,NHL,SJS,15,8,7,0,41,41,163,0,14,71,0,9,49,1
2009,NHL,VAN,12,6,6,0,43,41,175,6,11,50,2,17,54,0
2009,NHL,WAS,7,3,4,0,22,20,69,4,1,33,0,6,30,2
2010,NHL,AND,6,2,4,0,20,22,109,0,8,22,0,6,27,1
2010,NHL,BOS,25,16,9,0,81,53,396,4,10,88,1,15,96,4
2010,NHL,BUF,7,3,4,0,18,22,109,2,7,31,0,5,35,0
2010,NHL,CHI,7,3,4,0,22,16,76,0,6,29,0,4,18,1
2010,NHL,DET,11,7,4,0,36,28,125,0,8,43,0,11,46,0
2010,NHL,LAK,6,2,4,0,20,20,85,0,5,24,0,2,23,0
2010,NHL,MTL,7,3,4,0,17,17,54,4,6,27,0,0,21,1
2010,NHL,NAS,12,6,6,0,33,34,121,0,7,48,2,12,40,2
2010,NHL,NYR,5,1,4,0,8,13,62,4,1,20,0,3,16,0
2010,NHL,PHI,11,4,7,0,29,38,173,4,7,49,0,9,47,0
2010,NHL,PHO,4,0,4,0,10,18,41,0,6,18,0,4,15,0
2010,NHL,PIT,7,3,4,0,14,22,82,0,1,35,1,8,27,0
2010,NHL,SJS,18,9,9,0,51,58,276,6,14,73,0,18,76,0
2010,NHL,TBL,18,11,7,0,59,45,207,8,17,67,1,6,78,1
2010,NHL,VAN,25,15,10,0,58,69,435,12,19,93,6,19,99,1
2010,NHL,WAS,9,4,5,0,23,24,84,4,5,35,0,5,38,0
2011,NHL,BOS,7,3,4,0,15,16,52,0,2,23,0,3,19,0
2011,NHL,CHI,6,2,4,0,12,17,89,0,1,19,0,4,19,0
2011,NHL,DET,5,1,4,0,9,13,55,0,4,23,0,2,22,0
2011,NHL,FLO,7,3,4,0,17,18,66,0,9,27,0,5,25,1
2011,NHL,LAK,20,16,4,0,57,30,238,6,12,94,0,6,76,5
2011,NHL,NAS,10,5,5,0,22,21,92,2,5,41,0,5,35,0
2011,NHL,NJD,24,14,10,0,59,58,248,0,13,85,2,22,82,1
2011,NHL,NYR,20,10,10,0,43,41,218,2,13,73,0,11,69,0
2011,NHL,OTT,7,3,4,0,13,14,107,0,4,26,0,5,32,0
2011,NHL,PHI,11,5,6,0,41,44,225,2,15,42,1,13,47,4
2011,NHL,PHO,16,9,7,0,37,35,224,0,7,50,1,6,65,0
2011,NHL,PIT,6,2,4,0,26,30,149,0,9,29,3,12,23,0
2011,NHL,SJS,5,1,4,0,8,14,97,0,2,17,0,6,18,0
2011,NHL,STL,9,4,5,0,20,23,212,0,6,35,2,3,38,0
2011,NHL,VAN,5,1,4,0,8,12,94,0,3,21,2,3,26,0
2011,NHL,WAS,14,7,7,0,29,30,122,2,7,39,0,6,48,0
